split,policy,attack_scope,configuration,method,model,events,attacker_victim_pairs,attacker_score_higher,equal_scores,pairwise_superiority_rate,events_all_attackers_above_victim,event_superiority_rate,median_score_margin,mean_score_margin
transicao_dencun_2024,sensitivity,insertion,c_sem_taxas_absolutas,AE,AE:c_sem_taxas_absolutas,43,86,48,0,0.5581395348837209,21,0.4883720930232558,0.006006404757499695,0.005534999765628992
transicao_dencun_2024,sensitivity,displacement,c_sem_taxas_absolutas,AE,AE:c_sem_taxas_absolutas,73,73,26,0,0.3561643835616438,26,0.3561643835616438,-0.0008266717195510864,-0.0030086132863613026
transicao_dencun_2024,strict,all,c_sem_taxas_absolutas,IF,IF:c_sem_taxas_absolutas,44,87,83,0,0.9540229885057471,40,0.9090909090909091,0.029898226261138916,0.030741351774369163
transicao_dencun_2024,strict,insertion,c_sem_taxas_absolutas,IF,IF:c_sem_taxas_absolutas,43,86,83,0,0.9651162790697675,40,0.9302325581395349,0.03041955828666687,0.03203114278094713
transicao_dencun_2024,strict,displacement,c_sem_taxas_absolutas,IF,IF:c_sem_taxas_absolutas,1,1,0,0,0.0,0,0.0,-0.08018067479133606,-0.08018067479133606
transicao_dencun_2024,sensitivity,all,c_sem_taxas_absolutas,IF,IF:c_sem_taxas_absolutas,116,159,104,0,0.6540880503144654,61,0.5258620689655172,0.011010915040969849,0.015450378259023031
transicao_dencun_2024,sensitivity,insertion,c_sem_taxas_absolutas,IF,IF:c_sem_taxas_absolutas,43,86,83,0,0.9651162790697675,40,0.9302325581395349,0.03041955828666687,0.03203114278094713
transicao_dencun_2024,sensitivity,displacement,c_sem_taxas_absolutas,IF,IF:c_sem_taxas_absolutas,73,73,21,0,0.2876712328767123,21,0.2876712328767123,-0.001727283000946045,-0.004083125150367005
treino_2024_pos_dencun,strict,all,a_completa,AE,AE:a_completa,622,1203,750,0,0.6234413965087282,291,0.4678456591639871,0.005639309994876385,0.004746149148922088
treino_2024_pos_dencun,strict,insertion,a_completa,AE,AE:a_completa,581,1162,749,0,0.6445783132530121,290,0.4991394148020654,0.006281091365963221,0.007597500183250877
treino_2024_pos_dencun,strict,displacement,a_completa,AE,AE:a_completa,41,41,1,0,0.024390243902439025,1,0.024390243902439025,-0.07123914361000061,-0.0760653118727865
treino_2024_pos_dencun,sensitivity,all,a_completa,AE,AE:a_completa,2017,2598,1980,0,0.7621247113163973,1521,0.7540902330193356,0.003394927829504013,0.0045110325763121056
treino_2024_pos_dencun,sensitivity,insertion,a_completa,AE,AE:a_completa,581,1162,749,0,0.6445783132530121,290,0.4991394148020654,0.006281091365963221,0.007597500183250877
treino_2024_pos_dencun,sensitivity,displacement,a_completa,AE,AE:a_completa,1436,1436,1231,0,0.8572423398328691,1231,0.8572423398328691,0.002867620438337326,0.002013487061505105
treino_2024_pos_dencun,strict,all,a_completa,IF,IF:a_completa,622,1203,1060,0,0.8811305070656692,485,0.7797427652733119,0.08017852902412415,0.07191395952814535
treino_2024_pos_dencun,strict,insertion,a_completa,IF,IF:a_completa,581,1162,1060,0,0.9122203098106713,485,0.8347676419965576,0.08266282081604004,0.07873586687081446
treino_2024_pos_dencun,strict,displacement,a_completa,IF,IF:a_completa,41,41,0,0,0.0,0,0.0,-0.11837020516395569,-0.12142887784213555
treino_2024_pos_dencun,sensitivity,all,a_completa,IF,IF:a_completa,2017,2598,1520,2,0.5850654349499615,945,0.46851760039662865,0.004028111696243286,0.033016741080776006
treino_2024_pos_dencun,sensitivity,insertion,a_completa,IF,IF:a_completa,581,1162,1060,0,0.9122203098106713,485,0.8347676419965576,0.08266282081604004,0.07873586687081446
treino_2024_pos_dencun,sensitivity,displacement,a_completa,IF,IF:a_completa,1436,1436,460,2,0.3203342618384401,460,0.3203342618384401,-0.0025773346424102783,-0.003978818924812221
treino_2024_pos_dencun,strict,all,b_completa,AE,AE:b_completa,622,1203,631,0,0.5245220282626767,222,0.35691318327974275,0.0026994049549102783,0.004093287161188332
treino_2024_pos_dencun,strict,insertion,b_completa,AE,AE:b_completa,581,1162,631,0,0.5430292598967298,222,0.38209982788296043,0.006063781678676605,0.006082743585827839
treino_2024_pos_dencun,strict,displacement,b_completa,AE,AE:b_completa,41,41,0,0,0.0,0,0.0,-0.045056939125061035,-0.05229081931274112
treino_2024_pos_dencun,sensitivity,all,b_completa,AE,AE:b_completa,2017,2598,1584,0,0.6096997690531177,1175,0.5825483391175013,0.0021536871790885925,0.0029634588374379874
treino_2024_pos_dencun,sensitivity,insertion,b_completa,AE,AE:b_completa,581,1162,631,0,0.5430292598967298,222,0.38209982788296043,0.006063781678676605,0.006082743585827839
treino_2024_pos_dencun,sensitivity,displacement,b_completa,AE,AE:b_completa,1436,1436,953,0,0.6636490250696379,953,0.6636490250696379,0.0019087642431259155,0.00043935794772419424
treino_2024_pos_dencun,strict,all,b_completa,IF,IF:b_completa,622,1203,1094,0,0.9093931837073982,518,0.8327974276527331,0.060631752014160156,0.053219797704384314
treino_2024_pos_dencun,strict,insertion,b_completa,IF,IF:b_completa,581,1162,1094,0,0.9414802065404475,518,0.891566265060241,0.061862245202064514,0.05836066454905446
treino_2024_pos_dencun,strict,displacement,b_completa,IF,IF:b_completa,41,41,0,0,0.0,0,0.0,-0.0890977680683136,-0.09247989189334033
treino_2024_pos_dencun,sensitivity,all,b_completa,IF,IF:b_completa,2017,2598,1549,2,0.5962278675904542,973,0.4823996033713436,0.004177659749984741,0.024203522662826462
treino_2024_pos_dencun,sensitivity,insertion,b_completa,IF,IF:b_completa,581,1162,1094,0,0.9414802065404475,518,0.891566265060241,0.061862245202064514,0.05836066454905446
treino_2024_pos_dencun,sensitivity,displacement,b_completa,IF,IF:b_completa,1436,1436,455,2,0.3168523676880223,455,0.3168523676880223,-0.001819714903831482,-0.0034361701448315696
treino_2024_pos_dencun,strict,all,c_completa,AE,AE:c_completa,622,1203,621,0,0.516209476309227,224,0.36012861736334406,0.0018989071249961853,0.006379516056722536
treino_2024_pos_dencun,strict,insertion,c_completa,AE,AE:c_completa,581,1162,621,0,0.5344234079173839,224,0.3855421686746988,0.0038725771009922028,0.009288540933915958
treino_2024_pos_dencun,strict,displacement,c_completa,AE,AE:c_completa,41,41,0,0,0.0,0,0.0,-0.06709420680999756,-0.07606650607251539
treino_2024_pos_dencun,sensitivity,all,c_completa,AE,AE:c_completa,2017,2598,1015,0,0.39068514241724406,618,0.30639563708477935,-0.0054846107959747314,-0.008243522940173435
treino_2024_pos_dencun,sensitivity,insertion,c_completa,AE,AE:c_completa,581,1162,621,0,0.5344234079173839,224,0.3855421686746988,0.0038725771009922028,0.009288540933915958
treino_2024_pos_dencun,sensitivity,displacement,c_completa,AE,AE:c_completa,1436,1436,394,0,0.2743732590529248,394,0.2743732590529248,-0.00916288048028946,-0.02243033228675552
treino_2024_pos_dencun,strict,all,c_completa,IF,IF:c_completa,622,1203,1087,0,0.9035743973399833,515,0.8279742765273312,0.059644222259521484,0.053141158962883954
treino_2024_pos_dencun,strict,insertion,c_completa,IF,IF:c_completa,581,1162,1087,0,0.9354561101549054,515,0.8864027538726333,0.061542510986328125,0.05760029271219355
treino_2024_pos_dencun,strict,displacement,c_completa,IF,IF:c_completa,41,41,0,0,0.0,0,0.0,-0.07233113050460815,-0.07323721705413447
treino_2024_pos_dencun,sensitivity,all,c_completa,IF,IF:c_completa,2017,2598,1572,4,0.605080831408776,1000,0.495785820525533,0.004282400012016296,0.024738547937791105
treino_2024_pos_dencun,sensitivity,insertion,c_completa,IF,IF:c_completa,581,1162,1087,0,0.9354561101549054,515,0.8864027538726333,0.061542510986328125,0.05760029271219355
