split,split_role,policy,attack_scope,configuration,method,model,rows,positives,contextual_negatives,prevalence,roc_auc,pr_auc_average_precision,roc_auc_ci_low,roc_auc_ci_high,pr_auc_ci_low,pr_auc_ci_high
transicao_dencun_2024,protocol_transition,sensitivity,displacement,a_completa,IF,IF:a_completa,122,61,61,0.5,0.42475141091104546,0.4577312676768144,nan,nan,nan,nan
transicao_dencun_2024,protocol_transition,strict,all,b_completa,AE,AE:b_completa,130,86,44,0.6615384615384615,0.46168076109936573,0.6571205249031615,0.3596458773784355,0.5598639006342495,0.5952412742050777,0.73243908934645
transicao_dencun_2024,protocol_transition,strict,insertion,b_completa,AE,AE:b_completa,128,85,43,0.6640625,0.46675786593707247,0.6649385450783468,nan,nan,nan,nan
transicao_dencun_2024,protocol_transition,strict,displacement,b_completa,AE,AE:b_completa,2,1,1,0.5,0.0,0.5,nan,nan,nan,nan
transicao_dencun_2024,protocol_transition,sensitivity,all,b_completa,AE,AE:b_completa,250,146,104,0.584,0.46812434141201265,0.5780393968269086,0.3975862750263435,0.5434898577449947,0.5281908883701553,0.6434438251791366
transicao_dencun_2024,protocol_transition,sensitivity,insertion,b_completa,AE,AE:b_completa,128,85,43,0.6640625,0.46675786593707247,0.6649385450783468,nan,nan,nan,nan
transicao_dencun_2024,protocol_transition,sensitivity,displacement,b_completa,AE,AE:b_completa,122,61,61,0.5,0.5017468422467078,0.5115867306774671,nan,nan,nan,nan
transicao_dencun_2024,protocol_transition,strict,all,b_completa,IF,IF:b_completa,130,86,44,0.6615384615384615,0.9138477801268499,0.9282659079432279,0.8527484143763214,0.9685650105708244,0.8632228921796908,0.9873869770539286
transicao_dencun_2024,protocol_transition,strict,insertion,b_completa,IF,IF:b_completa,128,85,43,0.6640625,0.9351573187414501,0.9747524844569865,nan,nan,nan,nan
transicao_dencun_2024,protocol_transition,strict,displacement,b_completa,IF,IF:b_completa,2,1,1,0.5,0.0,0.5,nan,nan,nan,nan
transicao_dencun_2024,protocol_transition,sensitivity,all,b_completa,IF,IF:b_completa,250,146,104,0.584,0.7637644889357217,0.8203266162321605,0.699825474183351,0.8184750395152792,0.7679843923679041,0.8757361969332854
transicao_dencun_2024,protocol_transition,sensitivity,insertion,b_completa,IF,IF:b_completa,128,85,43,0.6640625,0.9351573187414501,0.9747524844569865,nan,nan,nan,nan
transicao_dencun_2024,protocol_transition,sensitivity,displacement,b_completa,IF,IF:b_completa,122,61,61,0.5,0.444504165546896,0.45683673733743263,nan,nan,nan,nan
transicao_dencun_2024,protocol_transition,strict,all,c_completa,AE,AE:c_completa,130,86,44,0.6615384615384615,0.39957716701902746,0.6155293360902286,0.31156183932346726,0.5016120507399576,0.5655110062310348,0.7041615937423799
transicao_dencun_2024,protocol_transition,strict,insertion,c_completa,AE,AE:c_completa,128,85,43,0.6640625,0.4035567715458276,0.6289674364300827,nan,nan,nan,nan
transicao_dencun_2024,protocol_transition,strict,displacement,c_completa,AE,AE:c_completa,2,1,1,0.5,0.0,0.5,nan,nan,nan,nan
transicao_dencun_2024,protocol_transition,sensitivity,all,c_completa,AE,AE:c_completa,250,146,104,0.584,0.3747365648050579,0.49714867877585506,0.30626811116965225,0.4420574288724974,0.46348984723412834,0.5441650186819974
transicao_dencun_2024,protocol_transition,sensitivity,insertion,c_completa,AE,AE:c_completa,128,85,43,0.6640625,0.4035567715458276,0.6289674364300827,nan,nan,nan,nan
transicao_dencun_2024,protocol_transition,sensitivity,displacement,c_completa,AE,AE:c_completa,122,61,61,0.5,0.34023112066648753,0.40537396277374826,nan,nan,nan,nan
transicao_dencun_2024,protocol_transition,strict,all,c_completa,IF,IF:c_completa,130,86,44,0.6615384615384615,0.9056553911205074,0.9374304259719849,0.8452100951374206,0.9631408562367865,0.8917256172474403,0.9810193431004864
transicao_dencun_2024,protocol_transition,strict,insertion,c_completa,IF,IF:c_completa,128,85,43,0.6640625,0.9225718194254446,0.9550081885239541,nan,nan,nan,nan
transicao_dencun_2024,protocol_transition,strict,displacement,c_completa,IF,IF:c_completa,2,1,1,0.5,0.0,0.5,nan,nan,nan,nan
transicao_dencun_2024,protocol_transition,sensitivity,all,c_completa,IF,IF:c_completa,250,146,104,0.584,0.7374868282402529,0.8030216912091437,0.6772128556375132,0.7961439673340358,0.7520323750109265,0.8497217848517642
transicao_dencun_2024,protocol_transition,sensitivity,insertion,c_completa,IF,IF:c_completa,128,85,43,0.6640625,0.9225718194254446,0.9550081885239541,nan,nan,nan,nan
transicao_dencun_2024,protocol_transition,sensitivity,displacement,c_completa,IF,IF:c_completa,122,61,61,0.5,0.4321418973394248,0.45496903705622216,nan,nan,nan,nan
transicao_dencun_2024,protocol_transition,strict,all,b_sem_taxas_absolutas,AE,AE:b_sem_taxas_absolutas,130,86,44,0.6615384615384615,0.6337209302325582,0.7416523869951088,0.5257201374207188,0.7356699260042282,0.6653179360477918,0.8347393900143771
transicao_dencun_2024,protocol_transition,strict,insertion,b_sem_taxas_absolutas,AE,AE:b_sem_taxas_absolutas,128,85,43,0.6640625,0.6462380300957592,0.7664208508647952,nan,nan,nan,nan
transicao_dencun_2024,protocol_transition,strict,displacement,b_sem_taxas_absolutas,AE,AE:b_sem_taxas_absolutas,2,1,1,0.5,0.0,0.5,nan,nan,nan,nan
transicao_dencun_2024,protocol_transition,sensitivity,all,b_sem_taxas_absolutas,AE,AE:b_sem_taxas_absolutas,250,146,104,0.584,0.4994072708113804,0.5783236452724354,0.42326462065331927,0.5738721680716543,0.5304698366999622,0.6440096846584492
transicao_dencun_2024,protocol_transition,sensitivity,insertion,b_sem_taxas_absolutas,AE,AE:b_sem_taxas_absolutas,128,85,43,0.6640625,0.6462380300957592,0.7664208508647952,nan,nan,nan,nan
transicao_dencun_2024,protocol_transition,sensitivity,displacement,b_sem_taxas_absolutas,AE,AE:b_sem_taxas_absolutas,122,61,61,0.5,0.48159097016930935,0.4920228560271994,nan,nan,nan,nan
transicao_dencun_2024,protocol_transition,strict,all,b_sem_taxas_absolutas,IF,IF:b_sem_taxas_absolutas,130,86,44,0.6615384615384615,0.8990486257928119,0.8974644690872354,0.8127576638477801,0.9639600951374208,0.8108853295009922,0.9797840919189252
transicao_dencun_2024,protocol_transition,strict,insertion,b_sem_taxas_absolutas,IF,IF:b_sem_taxas_absolutas,128,85,43,0.6640625,0.919562243502052,0.9411818870358483,nan,nan,nan,nan
transicao_dencun_2024,protocol_transition,strict,displacement,b_sem_taxas_absolutas,IF,IF:b_sem_taxas_absolutas,2,1,1,0.5,0.0,0.5,nan,nan,nan,nan
transicao_dencun_2024,protocol_transition,sensitivity,all,b_sem_taxas_absolutas,IF,IF:b_sem_taxas_absolutas,250,146,104,0.584,0.6193032139093783,0.6419447346061244,0.5544701659641729,0.6955652331401475,0.5899569859227336,0.7125580210534708
transicao_dencun_2024,protocol_transition,sensitivity,insertion,b_sem_taxas_absolutas,IF,IF:b_sem_taxas_absolutas,128,85,43,0.6640625,0.919562243502052,0.9411818870358483,nan,nan,nan,nan
transicao_dencun_2024,protocol_transition,sensitivity,displacement,b_sem_taxas_absolutas,IF,IF:b_sem_taxas_absolutas,122,61,61,0.5,0.4185702768073099,0.433160182228466,nan,nan,nan,nan
transicao_dencun_2024,protocol_transition,strict,all,c_sem_taxas_absolutas,AE,AE:c_sem_taxas_absolutas,130,86,44,0.6615384615384615,0.5708245243128964,0.6732242997839621,0.4447674418604651,0.6617468287526427,0.6092449736648824,0.7575339798637623
transicao_dencun_2024,protocol_transition,strict,insertion,c_sem_taxas_absolutas,AE,AE:c_sem_taxas_absolutas,128,85,43,0.6640625,0.5797537619699042,0.6849805706884855,nan,nan,nan,nan
transicao_dencun_2024,protocol_transition,strict,displacement,c_sem_taxas_absolutas,AE,AE:c_sem_taxas_absolutas,2,1,1,0.5,0.0,0.5,nan,nan,nan,nan
transicao_dencun_2024,protocol_transition,sensitivity,all,c_sem_taxas_absolutas,AE,AE:c_sem_taxas_absolutas,250,146,104,0.584,0.46930979978925186,0.5460385030202449,0.38824914383561643,0.5446308614330875,0.5047773090512321,0.603396778564906
transicao_dencun_2024,protocol_transition,sensitivity,insertion,c_sem_taxas_absolutas,AE,AE:c_sem_taxas_absolutas,128,85,43,0.6640625,0.5797537619699042,0.6849805706884855,nan,nan,nan,nan
transicao_dencun_2024,protocol_transition,sensitivity,displacement,c_sem_taxas_absolutas,AE,AE:c_sem_taxas_absolutas,122,61,61,0.5,0.4684224670787423,0.4762998195809446,nan,nan,nan,nan
transicao_dencun_2024,protocol_transition,strict,all,c_sem_taxas_absolutas,IF,IF:c_sem_taxas_absolutas,130,86,44,0.6615384615384615,0.8784355179704016,0.886288270893677,0.7939680232558141,0.9401493128964059,0.8102559383570765,0.9596681660061481
transicao_dencun_2024,protocol_transition,strict,insertion,c_sem_taxas_absolutas,IF,IF:c_sem_taxas_absolutas,128,85,43,0.6640625,0.8979480164158686,0.9291526921050013,nan,nan,nan,nan
transicao_dencun_2024,protocol_transition,strict,displacement,c_sem_taxas_absolutas,IF,IF:c_sem_taxas_absolutas,2,1,1,0.5,0.0,0.5,nan,nan,nan,nan
transicao_dencun_2024,protocol_transition,sensitivity,all,c_sem_taxas_absolutas,IF,IF:c_sem_taxas_absolutas,250,146,104,0.584,0.5961209167544784,0.601229981811393,0.5200614133298208,0.6808647260273972,0.5550235048512685,0.670987642176196
transicao_dencun_2024,protocol_transition,sensitivity,insertion,c_sem_taxas_absolutas,IF,IF:c_sem_taxas_absolutas,128,85,43,0.6640625,0.8979480164158686,0.9291526921050013,nan,nan,nan,nan
transicao_dencun_2024,protocol_transition,sensitivity,displacement,c_sem_taxas_absolutas,IF,IF:c_sem_taxas_absolutas,122,61,61,0.5,0.41265788766460626,0.4252449538954304,nan,nan,nan,nan
treino_2024_pos_dencun,train,strict,all,a_completa,AE,AE:a_completa,1824,1202,622,0.6589912280701754,0.5818678408440381,0.6822293741355756,0.5519216365007945,0.6094147749463649,0.6608686612834653,0.7009107489641794
treino_2024_pos_dencun,train,strict,insertion,a_completa,AE,AE:a_completa,1742,1161,581,0.6664753157290471,0.6189023350693286,0.7239534971654242,nan,nan,nan,nan
treino_2024_pos_dencun,train,strict,displacement,a_completa,AE,AE:a_completa,82,41,41,0.5,0.14753123140987506,0.33857265539565645,nan,nan,nan,nan
treino_2024_pos_dencun,train,sensitivity,all,a_completa,AE,AE:a_completa,4068,2324,1744,0.5712881022615536,0.49653446683194113,0.5746737702188836,0.4781673507595256,0.515206951248638,0.5606063611254942,0.5902513694090381
treino_2024_pos_dencun,train,sensitivity,insertion,a_completa,AE,AE:a_completa,1742,1161,581,0.6664753157290471,0.6189023350693286,0.7239534971654242,nan,nan,nan,nan
treino_2024_pos_dencun,train,sensitivity,displacement,a_completa,AE,AE:a_completa,2326,1163,1163,0.5,0.5495845313621708,0.5398477241959962,nan,nan,nan,nan
treino_2024_pos_dencun,train,strict,all,a_completa,IF,IF:a_completa,1824,1202,622,0.6589912280701754,0.8403290871056278,0.8837794276186883,0.8199268635874828,0.8587015344201251,0.8645145789310319,0.900856815761675
treino_2024_pos_dencun,train,strict,insertion,a_completa,IF,IF:a_completa,1742,1161,581,0.6664753157290471,0.8966897490293401,0.9461120702693222,nan,nan,nan,nan
treino_2024_pos_dencun,train,strict,displacement,a_completa,IF,IF:a_completa,82,41,41,0.5,0.0023795359904818557,0.3129743313605665,nan,nan,nan,nan
treino_2024_pos_dencun,train,sensitivity,all,a_completa,IF,IF:a_completa,4068,2324,1744,0.5712881022615536,0.6795328019153941,0.7419283112491435,0.6643896297016374,0.696102052377268,0.726057857014048,0.7571351006136976
treino_2024_pos_dencun,train,sensitivity,insertion,a_completa,IF,IF:a_completa,1742,1161,581,0.6664753157290471,0.8966897490293401,0.9461120702693222,nan,nan,nan,nan
treino_2024_pos_dencun,train,sensitivity,displacement,a_completa,IF,IF:a_completa,2326,1163,1163,0.5,0.4474326263576941,0.4654541018359668,nan,nan,nan,nan
treino_2024_pos_dencun,train,strict,all,b_completa,AE,AE:b_completa,1824,1202,622,0.6589912280701754,0.5125514282198479,0.6677666932290179,0.48396051462995754,0.5403990401849008,0.6456305088653806,0.6923550282799118
treino_2024_pos_dencun,train,strict,insertion,b_completa,AE,AE:b_completa,1742,1161,581,0.6664753157290471,0.5310411079534083,0.6867611182213444,nan,nan,nan,nan
treino_2024_pos_dencun,train,strict,displacement,b_completa,AE,AE:b_completa,82,41,41,0.5,0.18203450327186202,0.3464327341430683,nan,nan,nan,nan
treino_2024_pos_dencun,train,sensitivity,all,b_completa,AE,AE:b_completa,4068,2324,1744,0.5712881022615536,0.49886653428918815,0.5774988901372787,0.4790593998701227,0.5174469091964187,0.5636054096006196,0.5939521637315717
treino_2024_pos_dencun,train,sensitivity,insertion,b_completa,AE,AE:b_completa,1742,1161,581,0.6664753157290471,0.5310411079534083,0.6867611182213444,nan,nan,nan,nan
