,gas_limit_log,gas_used_log,gas_used_ratio,effective_gas_price_log,max_fee_per_gas_log,max_priority_fee_log,fee_cap_utilization,transaction_fee_paid_log,transaction_value_log,is_zero_value,nonce_log,receipt_status,tx_type_0,tx_type_1,tx_type_2,tx_type_3,transaction_index_pct,block_tx_count_log,sender_tx_count_block_log,receiver_tx_count_block_log,gas_price_rank_block,value_rank_block,hour_sin,hour_cos,weekday_sin,weekday_cos
nonce_log,0.26606396879578925,0.04649057707929285,-0.3487727855569225,0.10507865784886408,0.21697382918243205,0.11004615404356746,-0.27134015805272715,0.10011951523382318,-0.0401686202349003,0.02906068327785489,1.0,-0.008667258163462045,-0.06287580543989348,0.06757892786331655,0.027400099051247108,0.0860632848431104,-0.10176249742566444,-0.0749893194838162,0.4291218749351811,-0.19461863449068265,0.14889289491879873,-0.03361072604189212,-0.03417233643289402,-0.01766413095114256,0.015907168879804104,-0.012751139207510613
receipt_status,-0.1455476515091999,-0.07138446728684827,0.11434986504302597,-0.006962818349525882,-0.036398236969384594,-0.01594001080161438,0.029044689711277,-0.05248679139469068,0.011652342144478255,-0.03073166937974236,-0.008667258163462045,1.0,0.02239582241211422,0.006782868850833495,-0.02566605475351082,0.011509259625252417,-0.0006530224742445997,0.00341001154081196,0.006861367407152244,-0.047500131027028505,0.0004767937846816549,0.01441689158521345,0.019040008968892165,-0.012462227577339998,-0.009601035562351094,0.003639160238102518
tx_type_0,-0.1508184540701926,-0.2156240691225782,0.050208801747156875,-0.03087942075951296,-0.6187544667806375,-0.60630196141139,,-0.16695068926975967,0.04550103445639803,-0.07385707201820377,-0.06287580543989348,0.02239582241211422,1.0,-0.032583180908860775,-0.952406166094557,-0.035837233309279855,-0.012012668546277276,0.05667384390298811,0.06714532705646556,0.05379799744632356,0.07450865325744158,0.04508282143899494,0.006115708196717201,0.019927910042982427,-0.004566393110152313,0.007938169809664403
tx_type_1,0.07393501340330563,-0.04415957793357495,-0.07698522679703561,0.02410509374862159,-0.1124753497996026,-0.11021177034645219,,-0.016333681735100334,0.04639951904746491,-0.046921556936426266,0.06757892786331655,0.006782868850833495,-0.032583180908860775,1.0,-0.17312556504036242,-0.006514385865007506,-0.019211437175897936,-0.003925516592107093,0.07429117358531234,-0.033346306260707566,0.04684792031169294,0.04441999355385006,-0.014771611397693486,0.01393275499629192,-0.0008995556809806752,0.001392708064362394
tx_type_2,0.12629821054643592,0.21479409493399124,-0.031631417079843675,0.024432795450968964,0.6063210171201601,0.5942589425937932,0.10797454907661852,0.16086460813271794,-0.03759334576899941,0.06501798326468633,0.027400099051247108,-0.02566605475351082,-0.952406166094557,-0.17312556504036242,1.0,-0.19041545647451333,0.009380270080830061,-0.04927518976422148,-0.07452123818581605,-0.03360579920899626,-0.09423545319051432,-0.0369107726683629,-0.004128177468176469,-0.022583173856275136,0.004544194053544406,-0.00811532515247479
tx_type_3,0.019166415845124914,0.012663817915314032,-0.004701242328826785,0.002060115704902793,0.0677666800384646,0.06578364041139907,-0.10797454907661852,0.017590273277398618,-0.07057907859761586,0.07106469831153459,0.0860632848431104,0.011509259625252417,-0.035837233309279855,-0.006514385865007506,-0.19041545647451333,1.0,0.027376442317980546,-0.020902200152363576,-0.02533675785109124,-0.05103923783587459,0.055259196217749315,-0.07000514827582727,0.0055538527047917,0.0019274136288515119,0.00025616222225288883,0.0006632711291187434
transaction_index_pct,-0.24651242314026287,-0.2181030102471755,0.2007227101270377,-0.15813422586079603,-0.09111459853787758,-0.37074496168957816,-0.004639747924402983,-0.2660284204376729,0.04210462950667259,-0.044950489748741274,-0.10176249742566444,-0.0006530224742445997,-0.012012668546277276,-0.019211437175897936,0.009380270080830061,0.027376442317980546,1.0,-2.3081733511742887e-06,0.020211147940209995,-0.08580330905969082,-0.636281464296666,0.037904526261259265,-0.00041545238783175447,-0.0012562042542743194,-7.397983865414888e-05,0.0012525618380011159
block_tx_count_log,-0.05393367712387454,-0.04868148098765854,0.03839085291198569,0.08747661249174615,0.02070760865920579,-0.05500414718413849,-0.020702124389829088,0.029456666089344836,0.007566509054615548,-0.014175069811875878,-0.0749893194838162,0.00341001154081196,0.05667384390298811,-0.003925516592107093,-0.04927518976422148,-0.020902200152363576,-2.3081733511742887e-06,1.0,0.03778707949022321,0.14021095039194423,-0.02660438677574077,0.003828083962254245,-0.06983579031467434,-0.11274364914810563,0.017080582857457997,-0.05437674416765873
sender_tx_count_block_log,0.051469187441664004,-0.10692606474297497,-0.1550552155550639,0.05890660870913209,0.057203153880596845,-0.024528336609999025,-0.1386762862176471,-0.0391664765435733,-0.02251383629070203,-0.007555865897420625,0.4291218749351811,0.006861367407152244,0.06714532705646556,0.07429117358531234,-0.07452123818581605,-0.02533675785109124,0.020211147940209995,0.03778707949022321,1.0,-0.04158095864015108,0.040376738770186875,-0.02226282726717919,-0.016206503668012972,-0.009602751327195236,0.006940417071519066,-0.00516681520201197
receiver_tx_count_block_log,0.18411700552917176,0.24258006743040622,-0.15103307262745194,0.016400617161795104,-0.016721541681015455,0.021249184430647064,0.05299226716099386,0.17107656262833187,-0.18612038721492222,0.21011885864543853,-0.19461863449068265,-0.047500131027028505,0.05379799744632356,-0.033346306260707566,-0.03360579920899626,-0.05103923783587459,-0.08580330905969082,0.14021095039194423,-0.04158095864015108,1.0,-0.012441185592229242,-0.1982038157616814,-0.0026790518244490824,-0.01339852388972447,0.002538589111495497,-0.011451211908383614
gas_price_rank_block,0.0974568308412145,0.0014891198926951727,-0.16994757622934054,0.22952960312917964,0.11822203520029864,0.5515128720616356,-0.03830307761265426,0.15188492664164824,0.02155020234419552,0.0074352741500373215,0.14889289491879873,0.0004767937846816549,0.07450865325744158,0.04684792031169294,-0.09423545319051432,0.055259196217749315,-0.636281464296666,-0.02660438677574077,0.040376738770186875,-0.012441185592229242,1.0,0.023076668280504354,-0.007791638861685665,-0.004959062030830427,0.005909903495128282,-0.0004388964212245322
value_rank_block,-0.31427587617095715,-0.40551505143089533,0.3017302798199267,0.007914120907124216,-0.021880973500933938,-0.012455053278410955,0.025993374895916674,-0.24102389351937212,0.9881927364154132,-0.9330600300936011,-0.03361072604189212,0.01441689158521345,0.04508282143899494,0.04441999355385006,-0.0369107726683629,-0.07000514827582727,0.037904526261259265,0.003828083962254245,-0.02226282726717919,-0.1982038157616814,0.023076668280504354,1.0,-0.0135036900571669,0.013849901634798191,0.0016691471795090892,0.0005747803649343219
hour_sin,0.0040751791541829676,0.015553406005317969,-0.003982022460994024,-0.2388429516731327,-0.13895043280720426,-0.04785155726999485,0.003098200743803761,-0.15163178030452518,-0.03685586125721654,0.021441679289331383,-0.03417233643289402,0.019040008968892165,0.006115708196717201,-0.014771611397693486,-0.004128177468176469,0.0055538527047917,-0.00041545238783175447,-0.06983579031467434,-0.016206503668012972,-0.0026790518244490824,-0.007791638861685665,-0.0135036900571669,1.0,-0.005418739043286819,-0.00114676465748039,-0.002730614074050572
hour_cos,-0.00752661744509346,-0.0017518946137034884,0.02800690219626935,-0.17287281695581533,-0.1154434714609326,-0.04313754946834893,0.019489971301345083,-0.11339408139666719,0.01816618147534106,-0.026553480664042353,-0.01766413095114256,-0.012462227577339998,0.019927910042982427,0.01393275499629192,-0.022583173856275136,0.0019274136288515119,-0.0012562042542743194,-0.11274364914810563,-0.009602751327195236,-0.01339852388972447,-0.004959062030830427,0.013849901634798191,-0.005418739043286819,1.0,-0.0023221718674772173,0.0038879917103268593
weekday_sin,0.006243616383034669,-0.0003059290141968309,-0.009336269312086547,0.11047520968176629,0.06839246939046793,0.02158290742808281,-0.010943817965756638,0.07425008640825473,0.0074590945452068505,-0.0005493297406570438,0.015907168879804104,-0.009601035562351094,-0.004566393110152313,-0.0008995556809806752,0.004544194053544406,0.00025616222225288883,-7.397983865414888e-05,0.017080582857457997,0.006940417071519066,0.002538589111495497,0.005909903495128282,0.0016691471795090892,-0.00114676465748039,-0.0023221718674772173,1.0,0.22102127151386705
weekday_cos,0.0043063854027762805,0.011254332413659647,0.006202713284721427,-0.18810925363985703,-0.11324376725533186,-0.030901219036227265,0.013207757000849663,-0.117552638023265,-0.008643804160423393,-0.001740001460472004,-0.012751139207510613,0.003639160238102518,0.007938169809664403,0.001392708064362394,-0.00811532515247479,0.0006632711291187434,0.0012525618380011159,-0.05437674416765873,-0.00516681520201197,-0.011451211908383614,-0.0004388964212245322,0.0005747803649343219,-0.002730614074050572,0.0038879917103268593,0.22102127151386705,1.0
