,gas_limit_log,gas_used_log,gas_used_ratio,effective_gas_price_log,max_fee_per_gas_log,max_priority_fee_log,fee_cap_utilization,transaction_fee_paid_log,transaction_value_log,is_zero_value,nonce_log,receipt_status,tx_type_0,tx_type_1,tx_type_2,tx_type_3,transaction_index_pct,block_tx_count_log,sender_tx_count_block_log,receiver_tx_count_block_log,gas_price_rank_block,value_rank_block,hour_sin,hour_cos,weekday_sin,weekday_cos
nonce_log,0.2392200356698552,-0.023009419113325998,-0.41901555979472305,0.10893559880704448,0.0516411956619514,-0.00883920493743287,-0.4279370567534986,0.06028691537758592,-0.021159657926816917,-0.005279530981523634,1.0,0.010332230746039374,-0.029156729439344848,0.07815673110964717,-0.008341623246933869,0.09024640831095883,-0.08869837938313949,-0.08464532857918236,0.39288593874511324,-0.20303062298281357,0.15611912911542297,-0.0028218461265640555,-0.03379265118273098,-0.016335268732994165,0.015010848988621579,-0.01461087059517604
receipt_status,-0.15412021217663321,-0.06321312602994332,0.13525985618134626,-0.00572105903699483,-0.02686857545863095,-0.025795039822463926,0.03811609593633057,-0.048595328255291614,0.023811917464022548,-0.030731669379567166,0.010332230746039374,1.0,0.02239582241196117,0.006782868850833547,-0.025666054753510463,0.011509259625252297,-0.0006528842099745526,0.0038941852326466637,0.01262145128767057,-0.026614564764353765,7.09236484753926e-05,0.018612321063573065,0.018469624985136393,-0.013710085973525613,-0.00961722556362105,0.005848064922445201
tx_type_0,-0.14643114039211996,-0.20280964723724215,0.0180588506360465,-0.04587257703578185,-0.9697978110886104,-0.8722798744888175,,-0.17523771157426063,0.07066388217263052,-0.07385707201727744,-0.029156729439344848,0.02239582241196117,1.0,-0.032583180908637724,-0.9524061660880428,-0.035837233309034565,-0.012033730649518055,0.08166363118261646,0.10266643506364839,0.10470849297313116,0.07645535853258442,0.048161776180416165,0.007799529696141584,0.02020437494522043,-0.004427585434073253,0.009039054555868748
tx_type_1,0.06728085143654008,-0.03839017728570021,-0.09999929128269072,0.022577958937826135,-0.17628696663026355,-0.15856044565995764,,-0.011214273098027494,0.04856009082977359,-0.04692155693615754,0.07815673110964717,0.006782868850833547,-0.032583180908637724,1.0,-0.1731255650403632,-0.0065143858650075085,-0.019216365278799878,-0.004810719699362954,0.06026083820433081,-0.028901577147488013,0.04846505188232872,0.046398203217100885,-0.014175727542358704,0.014906911582637971,-0.0007663742094991453,0.0017853533182010468
tx_type_2,0.11414866984592276,0.19981623421648545,0.009480072088810845,0.03887780116956779,0.9647386851010469,0.8656005081599366,0.1091706531834595,0.1682139647732634,-0.061645522795059304,0.0650179832643165,-0.008341623246933869,-0.025666054753510463,-0.9524061660880428,-0.1731255650403632,1.0,-0.19041545647451144,0.009401071506585874,-0.07270409261762702,-0.10714761953278969,-0.0842700065941476,-0.09666271441271727,-0.040040823919808316,-0.005883759455781394,-0.022900284279005693,0.0043507730064736,-0.00923533361920539
tx_type_3,0.06014093414458378,0.01882100717655402,-0.027982249126201467,0.0037016929927797134,0.04249007806255896,0.047620144197235995,-0.10917065318345956,0.015872059670276956,-0.07381010931850422,0.07106469831112872,0.09024640831095883,0.011509259625252297,-0.035837233309034565,-0.0065143858650075085,-0.19041545647451144,1.0,0.02737903204609485,-0.023374027744367754,-0.020209358636807288,-0.04880626564985176,0.056191175906381854,-0.07113475469625592,0.005571992472614268,0.0012601355161589991,0.00039621246580793347,0.0005495985935242835
transaction_index_pct,-0.23729577667519322,-0.21805215018551244,0.18039454780686154,-0.17560857877001457,-0.0013671492981262286,-0.11474402556326918,0.030992559772399644,-0.27710917049306577,0.06794889320306195,-0.04493500841521104,-0.08869837938313949,-0.0006528842099745526,-0.012033730649518055,-0.019216365278799878,0.009401071506585874,0.02737903204609485,1.0,-0.0002529075576160511,0.04130387867545099,-0.04351063918430259,-0.6405606370330212,0.04081032351778798,-0.000645024662241691,-0.0010688357620466965,-0.0003298979960908792,0.001639435047175511
block_tx_count_log,-0.07206596379651371,-0.06035240878517123,0.05366662208382157,0.057558348130465786,-0.07268876233557003,-0.08233557751529377,0.009241665859640322,-0.002132508091492466,0.02507333208765208,-0.025659618161065607,-0.08464532857918236,0.0038941852326466637,0.08166363118261646,-0.004810719699362954,-0.07270409261762702,-0.023374027744367754,-0.0002529075576160511,1.0,0.08581064782178244,0.2585025070282762,-0.04074945740437042,0.0002884733928524131,-0.060964410615017665,-0.08938034765131644,0.008275862925597248,-0.05317865878203133
sender_tx_count_block_log,-0.006607400616794115,-0.13161344167290634,-0.13511163924475253,0.04996306659851823,-0.09565866974470816,-0.10336219877706537,-0.18527210919175177,-0.05771933109644658,0.030353361505171973,-0.04009245318426243,0.39288593874511324,0.01262145128767057,0.10266643506364839,0.06026083820433081,-0.10714761953278969,-0.020209358636807288,0.04130387867545099,0.08581064782178244,1.0,-0.02137763878846036,0.02735265924283701,0.008783792925882685,-0.005293846553005154,-0.011342062345118725,0.007792163016081401,-0.00950559560903545
receiver_tx_count_block_log,0.053543105625608135,0.08556438673729423,-0.04208279760237154,-0.002379337503231395,-0.09382227307628993,-0.06366705966712415,0.031121942312134956,0.058668440586400555,-0.15834544066982004,0.1632436047850508,-0.20303062298281357,-0.026614564764353765,0.10470849297313116,-0.028901577147488013,-0.0842700065941476,-0.04880626564985176,-0.04351063918430259,0.2585025070282762,-0.02137763878846036,1.0,-0.05317142705703739,-0.18140580242064233,-0.005369888770789618,-0.017175456076819955,-0.002874327097585526,-0.02028532097735121
gas_price_rank_block,0.09743997430165227,-0.001228275180066438,-0.18798646670567162,0.2579076245559671,-0.05497259108435897,0.19328478490259923,-0.10533502146083086,0.18027991708285296,0.002567387215341516,0.004726299875622389,0.15611912911542297,7.09236484753926e-05,0.07645535853258442,0.04846505188232872,-0.09666271441271727,0.056191175906381854,-0.6405606370330212,-0.04074945740437042,0.02735265924283701,-0.05317142705703739,1.0,0.020375288314229963,-0.008136520134852132,-0.003972220329362477,0.006482011183542019,-0.002624061172434323
value_rank_block,-0.32245784809019856,-0.33433915654428686,0.21923128608524886,0.01007261368464506,-0.05431708060226354,-0.06436183798020333,0.013154246428293978,-0.2286982864394451,0.9751927369832828,-0.9593172588902118,-0.0028218461265640555,0.018612321063573065,0.048161776180416165,0.046398203217100885,-0.040040823919808316,-0.07113475469625592,0.04081032351778798,0.0002884733928524131,0.008783792925882685,-0.18140580242064233,0.020375288314229963,1.0,-0.015427834377023598,0.015801816226451472,0.003250866392487439,-0.0005278213709086577
hour_sin,0.0036792590758126867,0.015116578434386707,0.005793144144629669,-0.24569938112998,-0.024817083099971524,-0.018143954622171762,-0.0025931292915603024,-0.16191123640989175,-0.02747715394942674,0.02049115273801508,-0.03379265118273098,0.018469624985136393,0.007799529696141584,-0.014175727542358704,-0.005883759455781394,0.005571992472614268,-0.000645024662241691,-0.060964410615017665,-0.005293846553005154,-0.005369888770789618,-0.008136520134852132,-0.015427834377023598,1.0,-0.0027517135566412537,-0.0012753388734645897,-0.002689524092354253
hour_cos,-0.003790365003707152,0.006228107624913022,0.02396607740097542,-0.15764690739953183,-0.03692044664085613,-0.03457565209917323,0.020393362313357914,-0.10633426797565287,0.023340912945121712,-0.02738070759177915,-0.016335268732994165,-0.013710085973525613,0.02020437494522043,0.014906911582637971,-0.022900284279005693,0.0012601355161589991,-0.0010688357620466965,-0.08938034765131644,-0.011342062345118725,-0.017175456076819955,-0.003972220329362477,0.015801816226451472,-0.0027517135566412537,1.0,-0.001858690552130945,0.0034248830537696954
weekday_sin,0.005744959876528497,-0.001733193267159258,-0.011988117470461048,0.11404624817272438,0.014331719680333983,0.009617606140232549,-0.008612152615232821,0.07888017462918535,0.002954999200937101,-0.0007845262941529909,0.015010848988621579,-0.00961722556362105,-0.004427585434073253,-0.0007663742094991453,0.0043507730064736,0.00039621246580793347,-0.0003298979960908792,0.008275862925597248,0.007792163016081401,-0.002874327097585526,0.006482011183542019,0.003250866392487439,-0.0012753388734645897,-0.001858690552130945,1.0,0.005096341339608291
weekday_cos,0.003913443819841193,0.01346434211861932,0.011555413044183968,-0.20881237857431986,-0.02693195829737613,-0.01790271695312809,0.010178843710683618,-0.13716821304548057,-0.003849184517907627,-0.001549773786456719,-0.01461087059517604,0.005848064922445201,0.009039054555868748,0.0017853533182010468,-0.00923533361920539,0.0005495985935242835,0.001639435047175511,-0.05317865878203133,-0.00950559560903545,-0.02028532097735121,-0.002624061172434323,-0.0005278213709086577,-0.002689524092354253,0.0034248830537696954,0.005096341339608291,1.0
