detection_event_id,detector,validation_status,attacker_address,attacker_executor_address,transaction_hash,transaction_role,block_number,token_address,from_address,to_address,amount_raw,log_index,attacker_entity_delta_raw,is_weth
4699,insertion,confirmed,0xbabe01c4a05038010c3ced0281a732718a4d5701,0xe9235c60bc1130c3f08c35f4fad606b88478670e,0xce6d8a03b2e894f4c3ee456e57e19ff3a69bc069e036120d891b6e07aa5b2ff9,attacker_front,22791100,0xa92e132f720cccd5364b1d4d408486548cd80499,0xde0395290d91542ece1cf12061b795b431a4925c,0xe9235c60bc1130c3f08c35f4fad606b88478670e,3281261119460561864551477,59,3281261119460561864551477,false
4699,insertion,confirmed,0xbabe01c4a05038010c3ced0281a732718a4d5701,0xe9235c60bc1130c3f08c35f4fad606b88478670e,0xce6d8a03b2e894f4c3ee456e57e19ff3a69bc069e036120d891b6e07aa5b2ff9,attacker_front,22791100,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xe9235c60bc1130c3f08c35f4fad606b88478670e,0xde0395290d91542ece1cf12061b795b431a4925c,76604275643383808,60,-76604275643383808,true
4764,insertion,confirmed,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x2683f6e85ab47cf5b94eec5ee26922f5876189f15ea877c3733e1837e18c29ad,attacker_back,22793800,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xe0554a476a092703abdb3ef35c80e0d76d32939f,0x1f2f10d1c40777ae1da742455c65828ff36df387,9510570392,103,9510570392,false
4764,insertion,confirmed,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x2683f6e85ab47cf5b94eec5ee26922f5876189f15ea877c3733e1837e18c29ad,attacker_back,22793800,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xe0554a476a092703abdb3ef35c80e0d76d32939f,0x1f2f10d1c40777ae1da742455c65828ff36df387,9216853965578685250,104,9216853965578685250,true
4764,insertion,confirmed,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x2683f6e85ab47cf5b94eec5ee26922f5876189f15ea877c3733e1837e18c29ad,attacker_back,22793800,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xe0554a476a092703abdb3ef35c80e0d76d32939f,0x1f2f10d1c40777ae1da742455c65828ff36df387,3898861153987592193,106,3898861153987592193,true
4764,insertion,confirmed,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x2683f6e85ab47cf5b94eec5ee26922f5876189f15ea877c3733e1837e18c29ad,attacker_back,22793800,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x1f2f10d1c40777ae1da742455c65828ff36df387,0xe0554a476a092703abdb3ef35c80e0d76d32939f,9510570210,107,-9510570210,false
4764,insertion,confirmed,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x1f2f10d1c40777ae1da742455c65828ff36df387,0xb357d9e01aa176d667d6fc068ac2d440e2eaaa1f269ca1023a6fdcb8f190fcf1,attacker_front,22793800,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xe0554a476a092703abdb3ef35c80e0d76d32939f,0x1f2f10d1c40777ae1da742455c65828ff36df387,14224053879,80,14224053879,false
4764,insertion,confirmed,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x1f2f10d1c40777ae1da742455c65828ff36df387,0xb357d9e01aa176d667d6fc068ac2d440e2eaaa1f269ca1023a6fdcb8f190fcf1,attacker_front,22793800,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x1f2f10d1c40777ae1da742455c65828ff36df387,0xe0554a476a092703abdb3ef35c80e0d76d32939f,5830986689270513664,81,-5830986689270513664,true
4764,insertion,confirmed,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x1f2f10d1c40777ae1da742455c65828ff36df387,0xb357d9e01aa176d667d6fc068ac2d440e2eaaa1f269ca1023a6fdcb8f190fcf1,attacker_front,22793800,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x1f2f10d1c40777ae1da742455c65828ff36df387,0xe0554a476a092703abdb3ef35c80e0d76d32939f,14224053500,83,-14224053500,false
4764,insertion,confirmed,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x1f2f10d1c40777ae1da742455c65828ff36df387,0xb357d9e01aa176d667d6fc068ac2d440e2eaaa1f269ca1023a6fdcb8f190fcf1,attacker_front,22793800,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x1f2f10d1c40777ae1da742455c65828ff36df387,0xe0554a476a092703abdb3ef35c80e0d76d32939f,7283352438697419954,84,-7283352438697419954,true
4911,insertion,confirmed,0x77ad3a15b78101883af36ad4a875e17c86ac65d1,0x00000000a991c429ee2ec6df19d40fe0c80088b8,0x32bbeaa8d77c37a381037a508e16c0d6fbfaac6887f5f4b8cea7f1a7cbeab4ce,attacker_back,22800400,0x922d8563631b03c2c4cf817f4d18f6883aba0109,0x7d45a2557becd766a285d07a4701f5c64d716e2f,0x00000000a991c429ee2ec6df19d40fe0c80088b8,2148987601947135931445,23,2148987601947135931445,false
4911,insertion,confirmed,0x77ad3a15b78101883af36ad4a875e17c86ac65d1,0x00000000a991c429ee2ec6df19d40fe0c80088b8,0x32bbeaa8d77c37a381037a508e16c0d6fbfaac6887f5f4b8cea7f1a7cbeab4ce,attacker_back,22800400,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x7d45a2557becd766a285d07a4701f5c64d716e2f,0x00000000a991c429ee2ec6df19d40fe0c80088b8,510717518598515813,24,510717518598515813,true
4911,insertion,confirmed,0x77ad3a15b78101883af36ad4a875e17c86ac65d1,0x00000000a991c429ee2ec6df19d40fe0c80088b8,0x32bbeaa8d77c37a381037a508e16c0d6fbfaac6887f5f4b8cea7f1a7cbeab4ce,attacker_back,22800400,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x7d45a2557becd766a285d07a4701f5c64d716e2f,0x00000000a991c429ee2ec6df19d40fe0c80088b8,112867548121545629,26,112867548121545629,true
4911,insertion,confirmed,0x77ad3a15b78101883af36ad4a875e17c86ac65d1,0x00000000a991c429ee2ec6df19d40fe0c80088b8,0x32bbeaa8d77c37a381037a508e16c0d6fbfaac6887f5f4b8cea7f1a7cbeab4ce,attacker_back,22800400,0x922d8563631b03c2c4cf817f4d18f6883aba0109,0x00000000a991c429ee2ec6df19d40fe0c80088b8,0x7d45a2557becd766a285d07a4701f5c64d716e2f,2148987419266983657472,27,-2148987419266983657472,false
4911,insertion,confirmed,0x77ad3a15b78101883af36ad4a875e17c86ac65d1,0x00000000a991c429ee2ec6df19d40fe0c80088b8,0x781d9705d9ba6801e31ba51370b780275f91830f20d7a4932af8f46a303b5200,attacker_front,22800400,0x922d8563631b03c2c4cf817f4d18f6883aba0109,0x7d45a2557becd766a285d07a4701f5c64d716e2f,0x00000000a991c429ee2ec6df19d40fe0c80088b8,7811435033681645591698,9,7811435033681645591698,false
4911,insertion,confirmed,0x77ad3a15b78101883af36ad4a875e17c86ac65d1,0x00000000a991c429ee2ec6df19d40fe0c80088b8,0x781d9705d9ba6801e31ba51370b780275f91830f20d7a4932af8f46a303b5200,attacker_front,22800400,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x00000000a991c429ee2ec6df19d40fe0c80088b8,0x7d45a2557becd766a285d07a4701f5c64d716e2f,413414589632348160,10,-413414589632348160,true
4911,insertion,confirmed,0x77ad3a15b78101883af36ad4a875e17c86ac65d1,0x00000000a991c429ee2ec6df19d40fe0c80088b8,0x781d9705d9ba6801e31ba51370b780275f91830f20d7a4932af8f46a303b5200,attacker_front,22800400,0x922d8563631b03c2c4cf817f4d18f6883aba0109,0x00000000a991c429ee2ec6df19d40fe0c80088b8,0x7d45a2557becd766a285d07a4701f5c64d716e2f,7811435033681645591698,12,-7811435033681645591698,false
4911,insertion,confirmed,0x77ad3a15b78101883af36ad4a875e17c86ac65d1,0x00000000a991c429ee2ec6df19d40fe0c80088b8,0x781d9705d9ba6801e31ba51370b780275f91830f20d7a4932af8f46a303b5200,attacker_front,22800400,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x00000000a991c429ee2ec6df19d40fe0c80088b8,0x7d45a2557becd766a285d07a4701f5c64d716e2f,208411303533590908,13,-208411303533590908,true
4974,insertion,confirmed,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x961308846dd3ab0340b9cc7e91ff1f1e70923269509fd7511244cd9eba659c19,attacker_back,22803200,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xc7bbec68d12a0d1830360f8ec58fa599ba1b0e9b,0x1f2f10d1c40777ae1da742455c65828ff36df387,8570785551818279178,21,8570785551818279178,true
