audit_id,detection_event_id,detector,saved_label,recomputed_label,validation_result,issues
semantic__insertion__25885,25885,insertion,confirmado,confirmado,valid,
semantic__insertion__25919,25919,insertion,confirmado,confirmado,valid,
semantic__insertion__25948,25948,insertion,confirmado,confirmado,valid,
semantic__insertion__26015,26015,insertion,confirmado,confirmado,valid,
semantic__insertion__26111,26111,insertion,confirmado,confirmado,valid,
semantic__insertion__26141,26141,insertion,confirmado,confirmado,valid,
semantic__insertion__26289,26289,insertion,confirmado,confirmado,valid,
semantic__insertion__26308,26308,insertion,confirmado,confirmado,valid,
semantic__insertion__26421,26421,insertion,confirmado,confirmado,valid,
semantic__insertion__26452,26452,insertion,confirmado,confirmado,valid,
semantic__insertion__26456,26456,insertion,confirmado,confirmado,valid,
semantic__insertion__26478,26478,insertion,confirmado,confirmado,valid,
semantic__insertion__26730,26730,insertion,confirmado,confirmado,valid,
semantic__insertion__26768,26768,insertion,confirmado,confirmado,valid,
semantic__insertion__26778,26778,insertion,confirmado,confirmado,valid,
semantic__insertion__26787,26787,insertion,confirmado,confirmado,valid,
semantic__insertion__26797,26797,insertion,confirmado,confirmado,valid,
semantic__insertion__26971,26971,insertion,confirmado,confirmado,valid,
semantic__insertion__26990,26990,insertion,confirmado,confirmado,valid,
semantic__insertion__27303,27303,insertion,confirmado,confirmado,valid,
semantic__insertion__27319,27319,insertion,confirmado,confirmado,valid,
semantic__insertion__27957,27957,insertion,confirmado,confirmado,valid,
semantic__insertion__28053,28053,insertion,confirmado,confirmado,valid,
semantic__insertion__28090,28090,insertion,confirmado,confirmado,valid,
semantic__insertion__28351,28351,insertion,confirmado,confirmado,valid,
semantic__insertion__28373,28373,insertion,confirmado,confirmado,valid,
semantic__insertion__28549,28549,insertion,confirmado,confirmado,valid,
semantic__insertion__28659,28659,insertion,confirmado,confirmado,valid,
semantic__insertion__28981,28981,insertion,confirmado,confirmado,valid,
semantic__insertion__29188,29188,insertion,confirmado,confirmado,valid,
semantic__insertion__29192,29192,insertion,confirmado,confirmado,valid,
semantic__insertion__29259,29259,insertion,confirmado,confirmado,valid,
semantic__insertion__29359,29359,insertion,confirmado,confirmado,valid,
semantic__insertion__29404,29404,insertion,confirmado,confirmado,valid,
semantic__insertion__29656,29656,insertion,confirmado,confirmado,valid,
semantic__insertion__29691,29691,insertion,confirmado,confirmado,valid,
semantic__insertion__29710,29710,insertion,confirmado,confirmado,valid,
semantic__insertion__29785,29785,insertion,confirmado,confirmado,valid,
semantic__insertion__29808,29808,insertion,confirmado,confirmado,valid,
semantic__insertion__29905,29905,insertion,confirmado,confirmado,valid,
semantic__insertion__30073,30073,insertion,confirmado,confirmado,valid,
semantic__insertion__30152,30152,insertion,confirmado,confirmado,valid,
semantic__insertion__30358,30358,insertion,confirmado,confirmado,valid,
semantic__insertion__30442,30442,insertion,confirmado,confirmado,valid,
semantic__insertion__30447,30447,insertion,confirmado,confirmado,valid,
semantic__insertion__30555,30555,insertion,confirmado,confirmado,valid,
semantic__insertion__30562,30562,insertion,confirmado,confirmado,valid,
semantic__insertion__30767,30767,insertion,confirmado,confirmado,valid,
semantic__insertion__30786,30786,insertion,confirmado,confirmado,valid,
semantic__insertion__31055,31055,insertion,confirmado,confirmado,valid,
semantic__insertion__31103,31103,insertion,confirmado,confirmado,valid,
semantic__insertion__31120,31120,insertion,confirmado,confirmado,valid,
semantic__insertion__31144,31144,insertion,confirmado,confirmado,valid,
semantic__insertion__31355,31355,insertion,confirmado,confirmado,valid,
semantic__insertion__31414,31414,insertion,confirmado,confirmado,valid,
semantic__insertion__31419,31419,insertion,confirmado,confirmado,valid,
semantic__insertion__31488,31488,insertion,confirmado,confirmado,valid,
semantic__insertion__31899,31899,insertion,confirmado,confirmado,valid,
semantic__insertion__31991,31991,insertion,confirmado,confirmado,valid,
semantic__insertion__32008,32008,insertion,confirmado,confirmado,valid,
semantic__insertion__32156,32156,insertion,confirmado,confirmado,valid,
semantic__insertion__32225,32225,insertion,confirmado,confirmado,valid,
semantic__insertion__32230,32230,insertion,confirmado,confirmado,valid,
semantic__insertion__32363,32363,insertion,confirmado,confirmado,valid,
semantic__insertion__32453,32453,insertion,confirmado,confirmado,valid,
semantic__insertion__32472,32472,insertion,confirmado,confirmado,valid,
semantic__insertion__32734,32734,insertion,confirmado,confirmado,valid,
semantic__insertion__32843,32843,insertion,confirmado,confirmado,valid,
semantic__insertion__32876,32876,insertion,confirmado,confirmado,valid,
semantic__insertion__33082,33082,insertion,confirmado,confirmado,valid,
semantic__insertion__33459,33459,insertion,confirmado,confirmado,valid,
semantic__insertion__33604,33604,insertion,confirmado,confirmado,valid,
semantic__insertion__33611,33611,insertion,confirmado,confirmado,valid,
semantic__insertion__33839,33839,insertion,confirmado,confirmado,valid,
semantic__insertion__33846,33846,insertion,confirmado,confirmado,valid,
semantic__insertion__33963,33963,insertion,confirmado,confirmado,valid,
semantic__insertion__33983,33983,insertion,confirmado,confirmado,valid,
semantic__insertion__34003,34003,insertion,confirmado,confirmado,valid,
semantic__insertion__34121,34121,insertion,confirmado,confirmado,valid,
semantic__insertion__34125,34125,insertion,confirmado,confirmado,valid,
semantic__insertion__34188,34188,insertion,confirmado,confirmado,valid,
semantic__insertion__34277,34277,insertion,confirmado,confirmado,valid,
semantic__insertion__34370,34370,insertion,confirmado,confirmado,valid,
semantic__insertion__34385,34385,insertion,confirmado,confirmado,valid,
semantic__insertion__34655,34655,insertion,confirmado,confirmado,valid,
semantic__insertion__34662,34662,insertion,confirmado,confirmado,valid,
semantic__insertion__34693,34693,insertion,confirmado,confirmado,valid,
semantic__insertion__34733,34733,insertion,confirmado,confirmado,valid,
semantic__insertion__34743,34743,insertion,confirmado,confirmado,valid,
semantic__insertion__34825,34825,insertion,confirmado,confirmado,valid,
semantic__insertion__34834,34834,insertion,confirmado,confirmado,valid,
semantic__insertion__34894,34894,insertion,confirmado,confirmado,valid,
semantic__insertion__34911,34911,insertion,confirmado,confirmado,valid,
semantic__insertion__34958,34958,insertion,confirmado,confirmado,valid,
semantic__insertion__35154,35154,insertion,confirmado,confirmado,valid,
semantic__insertion__35190,35190,insertion,confirmado,confirmado,valid,
semantic__insertion__35274,35274,insertion,confirmado,confirmado,valid,
semantic__insertion__35925,35925,insertion,confirmado,confirmado,valid,
semantic__insertion__35984,35984,insertion,confirmado,confirmado,valid,
semantic__insertion__36061,36061,insertion,confirmado,confirmado,valid,
semantic__insertion__36116,36116,insertion,confirmado,confirmado,valid,
semantic__insertion__36226,36226,insertion,confirmado,confirmado,valid,
semantic__insertion__36282,36282,insertion,confirmado,confirmado,valid,
semantic__insertion__36286,36286,insertion,confirmado,confirmado,valid,
semantic__insertion__36306,36306,insertion,confirmado,confirmado,valid,
semantic__insertion__36508,36508,insertion,confirmado,confirmado,valid,
semantic__insertion__36628,36628,insertion,confirmado,confirmado,valid,
semantic__insertion__36897,36897,insertion,confirmado,confirmado,valid,
semantic__insertion__36972,36972,insertion,confirmado,confirmado,valid,
semantic__insertion__37047,37047,insertion,confirmado,confirmado,valid,
semantic__insertion__37079,37079,insertion,confirmado,confirmado,valid,
semantic__insertion__37294,37294,insertion,confirmado,confirmado,valid,
semantic__insertion__37530,37530,insertion,confirmado,confirmado,valid,
semantic__insertion__37556,37556,insertion,confirmado,confirmado,valid,
semantic__insertion__37559,37559,insertion,confirmado,confirmado,valid,
