token_address,reference_block,symbol,name,decimals,metadata_status,provider_host
0x40fd72257597aa14c7231a7b1aaa29fce868f677,23314900,XOR,Sora Token,18,complete,eth-mainnet.g.alchemy.com
0x419c4db4b9e25d6db2ad9691ccb832c8d9fda05e,23371400,DRGN,Dragon,18,complete,eth-mainnet.g.alchemy.com
0x4200000623d0242cccd4e907008583dcb4af6472,22730000,ESTEE,ShibEstee,18,complete,eth-mainnet.g.alchemy.com
0x423f4e6138e475d85cf7ea071ac92097ed631eea,23257600,PNDC,Pond Coin,18,complete,eth-mainnet.g.alchemy.com
0x44971abf0251958492fee97da3e5c5ada88b9185,22902700,basedAI,basedAI,18,complete,eth-mainnet.g.alchemy.com
0x44e18207b6e98f4a786957954e462ed46b8c95be,23621500,Terminus,Terminus,9,complete,eth-mainnet.g.alchemy.com
0x450e7830e5dceda1f8ac78d6024ceb0a2bbc2300,22840700,LAUNCHTOKEN,Launch Token on EBULL,18,complete,eth-mainnet.g.alchemy.com
0x455e53cbb86018ac2b8092fdcd39d8444affc3f6,23244700,POL,Polygon Ecosystem Token,18,complete,eth-mainnet.g.alchemy.com
0x45804880de22913dafe09f4980848ece6ecbaf78,23494700,PAXG,Paxos Gold,18,complete,eth-mainnet.g.alchemy.com
0x458679b9d182e9f4e2dd15f0571fc00a864f8c97,23428200,PLXAI,Pereplexity AI,9,complete,eth-mainnet.g.alchemy.com
0x45e02bc2875a2914c4f585bbf92a6f28bc07cb70,23031400,$MBG,$MBG Token,18,complete,eth-mainnet.g.alchemy.com
0x46d73dee442a7ba2c1c6948a1114acbf69d76ccd,23047600,fwXAUt,Few Wrapped Tether Gold,6,complete,eth-mainnet.g.alchemy.com
0x488db574c77dd27a07f9c97bac673bc8e9fc6bf3,22607600,CARN,The PulseDogecoin Staking Carnival Token,12,complete,eth-mainnet.g.alchemy.com
0x48ed70874ebf7156469ae6246f6fa5bae5f7391f,22657500,Costco,Costco,9,complete,eth-mainnet.g.alchemy.com
0x4951bec6f4dfc23935c0ec8af92f231f4c20ea03,23372800,BTM,Bytom DAO,8,complete,eth-mainnet.g.alchemy.com
0x4a220e6096b25eadb88358cb44068a3248254675,23215600,QNT,Quant,18,complete,eth-mainnet.g.alchemy.com
0x4a38a8089f8d33d6595ace079f999327a58c700f,22619300,PROTOCOL,New Ethereum Project,9,complete,eth-mainnet.g.alchemy.com
0x4b310fa5cc52c9354aac6682cb587d8724981c78,23619300,Kurumi,Kurumi,18,complete,eth-mainnet.g.alchemy.com
0x4c11249814f11b9346808179cf06e71ac328c1b5,22607700,ORAI,Oraichain Token,18,complete,eth-mainnet.g.alchemy.com
0x4d224452801aced8b2f0aebe155379bb5d594381,23327100,APE,ApeCoin,18,complete,eth-mainnet.g.alchemy.com
0x4d4574f50dd8b9dbe623cf329dcc78d76935e610,22630100,ZEUS,Zeus,9,complete,eth-mainnet.g.alchemy.com
0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8,23242500,aEthWETH,Aave Ethereum WETH,18,complete,eth-mainnet.g.alchemy.com
0x4da0c48376c277cdbd7fc6fdc6936dee3e4adf75,23656300,EPIK,Epik Prime,18,complete,eth-mainnet.g.alchemy.com
0x4ea40dcee961675683e0a2e1721bd49cb9bca913,23684900,USDR,Ring USD,18,complete,eth-mainnet.g.alchemy.com
0x4eb0ca95b229f099443430f0994842bdb1d6caff,23466500,XORAI,Xoraichain,9,complete,eth-mainnet.g.alchemy.com
0x4f1aac70b303818ddd0823570af3bb46681d9bd8,22931100,SBET,SharpLink Gaming,9,complete,eth-mainnet.g.alchemy.com
0x4ff57e25eeb7affbbb060e0bad2e1759efc8bec4,23750600,BLOCX,BLOCX. (Bridge),18,complete,eth-mainnet.g.alchemy.com
0x50327c6c5a14dcade707abad2e27eb517df87ab5,22824300,TRX,TRON,6,complete,eth-mainnet.g.alchemy.com
0x50f41f589afaca2ef41fdf590fe7b90cd26dee64,23876100,IRYS,Irys,18,complete,eth-mainnet.g.alchemy.com
0x514910771af9ca656af840dff83e8264ecf986ca,23067500,LINK,ChainLink Token,18,complete,eth-mainnet.g.alchemy.com
0x5283d291dbcf85356a21ba090e6db59121208b44,23243000,BLUR,Blur,18,complete,eth-mainnet.g.alchemy.com
0x52a8845df664d76c69d2eea607cd793565af42b8,23464400,APEX,ApeX Token,18,complete,eth-mainnet.g.alchemy.com
0x53f64be99da00fec224eaf9f8ce2012149d2fc88,22700300,NICE,NiceToken,18,complete,eth-mainnet.g.alchemy.com
0x5417994ae69e6ccb283bb6dbdba3006b3d3f9f95,22615000,ETHCHAN,ETH Chan,9,complete,eth-mainnet.g.alchemy.com
0x541e65469ffcc26cbdcc2f5665d481adb5a95fb1,23334700,GPUAI,GPU AI,9,complete,eth-mainnet.g.alchemy.com
0x5484581038cbf8ef33b7f6daec7a2f01f71db3c2,22808500,HARAMBEAI,Harambe AI Token,18,complete,eth-mainnet.g.alchemy.com
0x55296f69f40ea6d20e478533c15a6b08b654e758,22614800,XYO,XY Oracle,18,complete,eth-mainnet.g.alchemy.com
0x553f4cb7256d8fc038e91d36cb63fa7c13b624ab,22882000,TANSSI,TANSSI,12,complete,eth-mainnet.g.alchemy.com
0x5564509bf2231e8901cdeedb69ef329918a8f036,22790200,$ROBO,THINKMESH,18,complete,eth-mainnet.g.alchemy.com
0x579cea1889991f68acc35ff5c3dd0621ff29b0c9,23688000,IQ,Everipedia IQ,18,complete,eth-mainnet.g.alchemy.com
0x57e114b691db790c35207b2e685d4a43181e6061,23074800,ENA,ENA,18,complete,eth-mainnet.g.alchemy.com
0x580e933d90091b9ce380740e3a4a39c67eb85b4c,22949000,GSWIFT,GameSwift,18,complete,eth-mainnet.g.alchemy.com
0x582d872a1b094fc48f5de31d3b73f2d9be47def1,23061500,TONCOIN,Wrapped TON Coin,9,complete,eth-mainnet.g.alchemy.com
0x590f820444fa3638e022776752c5eef34e2f89a6,23217500,ALPH,Alephium (AlphBridge),18,complete,eth-mainnet.g.alchemy.com
0x594daad7d77592a2b97b725a7ad59d7e188b5bfa,22778400,APU,Apu Apustaja,18,complete,eth-mainnet.g.alchemy.com
0x5a666c7d92e5fa7edcb6390e4efd6d0cdd69cf37,22752800,MARSH,UnmarshalToken,18,complete,eth-mainnet.g.alchemy.com
0x5c697fee285b513711a816018dbb34dc0cfc4875,23590100,MNTx,Minutes Network Token,18,complete,eth-mainnet.g.alchemy.com
0x5ddc976354fdd17cb1885248131be238e199d32a,23128800,AMONGUS,AMONGUS FOR SCALE,9,complete,eth-mainnet.g.alchemy.com
0x5de758bba013e58dae2693aea3f0b12b31a3023d,23321300,SATO,Atsuko Sato,18,complete,eth-mainnet.g.alchemy.com
0x5ee3188a3f8adee1d736edd4ae85000105c88f66,23680400,PEN,Pentagon,18,complete,eth-mainnet.g.alchemy.com
0x5ef94d6fc090227904771d7c6e90cc8f95f27047,23408900,WTF,WTF,9,complete,eth-mainnet.g.alchemy.com
0x5f7827fdeb7c20b443265fc2f40845b715385ff2,23573700,EURCV,EUR CoinVertible,18,complete,eth-mainnet.g.alchemy.com
0x5f98805a4e8be255a32880fdec7f6728c6568ba0,23242500,LUSD,LUSD Stablecoin,18,complete,eth-mainnet.g.alchemy.com
0x5fab9761d60419c9eeebe3915a8fa1ed7e8d2e1b,22728600,DIMO,Dimo,18,complete,eth-mainnet.g.alchemy.com
0x600d601d8b9eb5de5ac90fefc68d0d08801bfd3f,23408800,ELMT,Element,8,complete,eth-mainnet.g.alchemy.com
0x6055dc6ff1077eebe5e6d2ba1a1f53d7ef8430de,22931100,ES,Eclipse,6,complete,eth-mainnet.g.alchemy.com
0x60be1e1fe41c1370adaf5d8e66f07cf1c2df2268,23143300,PERC,Perion Credits,18,complete,eth-mainnet.g.alchemy.com
0x614da3b37b6f66f7ce69b4bbbcf9a55ce6168707,22774400,MMX,M2 Global Wealth Limited,18,complete,eth-mainnet.g.alchemy.com
0x6189c2e585404dca1af108ec502b811383652f1a,22657500,Costco,Costco,9,complete,eth-mainnet.g.alchemy.com
0x61e24ce4efe61eb2efd6ac804445df65f8032955,23106100,RTV,Revolution Token,18,complete,eth-mainnet.g.alchemy.com
0x6243d8cea23066d098a15582d81a598b4e8391f4,22723600,FLX,Flex Ungovernance Token,18,complete,eth-mainnet.g.alchemy.com
0x643c4e15d7d62ad0abec4a9bd4b001aa3ef52d66,22615500,SYRUP,Syrup Token,18,complete,eth-mainnet.g.alchemy.com
0x64766392ad32a6c94b965b5bf655e07371c23a1d,22642400,Yilongma,Chinese Elon Musk,9,complete,eth-mainnet.g.alchemy.com
0x64aa3364f17a4d01c6f1751fd97c2bd3d7e7f1d5,23172600,OHM,Olympus,9,complete,eth-mainnet.g.alchemy.com
0x6503de9fe77d256d9d823f2d335ce83ece9e153f,23684900,ctStableUSDT,Stable USDT Pre-Deposit,6,complete,eth-mainnet.g.alchemy.com
0x654055a99cb9f2c980d052433de08e663e457849,22902000,BOO,Boo,9,complete,eth-mainnet.g.alchemy.com
0x656c00e1bcd96f256f224ad9112ff426ef053733,23093500,EFI,Efinity Token,18,complete,eth-mainnet.g.alchemy.com
0x65d6ae56f6e4f3aa7c4249c4023698104c4ab5f4,23327100,PASC,Pascal Protocol,18,complete,eth-mainnet.g.alchemy.com
0x662b67d00a13faf93254714dd601f5ed49ef2f51,23779800,ORC,Orbit Chain,18,complete,eth-mainnet.g.alchemy.com
0x66761fa41377003622aee3c7675fc7b5c1c2fac5,23535200,CPOOL,Clearpool,18,complete,eth-mainnet.g.alchemy.com
0x66a1e37c9b0eaddca17d3662d6c05f4decf3e110,23808900,USR,Resolv USD,18,complete,eth-mainnet.g.alchemy.com
0x673d1713a325e619b9f3fb1ba06c1253df697601,23316700,HYPER,Bitcoin Hyper,9,complete,eth-mainnet.g.alchemy.com
0x677ddbd918637e5f2c79e164d402454de7da8619,23693400,VUSD,VUSD,18,complete,eth-mainnet.g.alchemy.com
0x68511e03a163775a3109885b254d977df46caa28,23047600,SER,Strategic Eth Reserve,9,complete,eth-mainnet.g.alchemy.com
0x68749665ff8d2d112fa859aa293f07a622782f38,23047600,XAUt,Tether Gold,6,complete,eth-mainnet.g.alchemy.com
0x68b36248477277865c64dfc78884ef80577078f3,22713600,Hold,Everybody,18,complete,eth-mainnet.g.alchemy.com
0x690680bb29eac359221439b8f451e18ac302a0a8,22912500,ICO,Initial Crime Offering,18,complete,eth-mainnet.g.alchemy.com
0x690eb6b7abd0e3847a2665d290069bc06deced86,22788300,DPlatinum,Digital Platinum,18,complete,eth-mainnet.g.alchemy.com
0x691851ab4743013b4988c78c68f4e379d0888f4a,23025400,ATNF,ETHZILLA,18,complete,eth-mainnet.g.alchemy.com
0x691b428a4cd86f44d0c2bc7971fbe2a8e7db5e79,22803700,KOME,Kome Chan,18,complete,eth-mainnet.g.alchemy.com
0x691ce51228f044f3def72ea7ccaabd8ff94ffd43,22826800,Mięta ,Mięta ,18,complete,eth-mainnet.g.alchemy.com
0x6932f32f48965917e6f3b7159f7e32aa127e7cee,22933800,SATOSHI,Satoshi Grok Companion,18,complete,eth-mainnet.g.alchemy.com
0x694384848523d529ceb032875587d24fe9e66328,23011200,STARKS,Ethereum Bunny,18,complete,eth-mainnet.g.alchemy.com
0x6953508b73598090ef0af3c5a0046a36f05f47ce,22989500,2440,MemeStrategy,18,complete,eth-mainnet.g.alchemy.com
0x696465b0dc1d67c7585d768d8bb0f6fd3b4ebeef,23126500,SGES,soulless greedy ethmaxi scammers,18,complete,eth-mainnet.g.alchemy.com
0x6969886e96a45702b51238c644da109bfa2c962e,22788200,PEPE-69,Pump Engaged Penis Extension69,9,complete,eth-mainnet.g.alchemy.com
0x6969ee39686b198c829e1750280b53c4d330c2da,22803300,Ethereans,Ethereans,18,complete,eth-mainnet.g.alchemy.com
0x696c911047fa483181c107c75272477b3b5049b9,23627600,ETH人生,ETH人生,18,complete,eth-mainnet.g.alchemy.com
