split_order,split,role,configuration,matrix,rows,score_min,score_q250,score_median,score_mean,score_q750,score_q950,score_q990,score_q995,score_q999,score_max,score_std
4,validacao_2025_pre_pectra,validation,c_completa,C,1442555,0.38974061608314514,0.4400326609611511,0.46406713128089905,0.4688548743724823,0.49156880378723145,0.5435373187065125,0.5805515050888062,0.5934901833534241,0.6142990589141846,0.6606345176696777,0.038883332163095474
5,transicao_pectra_2025,protocol_transition,c_completa,C,423759,0.3910352289676666,0.43924668431282043,0.4625110328197479,0.46827685832977295,0.4905593991279602,0.543117344379425,0.5779272317886353,0.5951428413391113,0.6474074721336365,0.6913362741470337,0.0388885959982872
6,teste_final_2025,test,c_completa,C,2827717,0.38998398184776306,0.45760875940322876,0.487255334854126,0.4889744222164154,0.5157099366188049,0.5609197616577148,0.5959805846214294,0.6093205809593201,0.6313021183013916,0.6744772791862488,0.041148554533720016
7,estresse_fusaka_2025,future_stress,c_completa,C,512462,0.4069899618625641,0.4946160316467285,0.5174030065536499,0.519162654876709,0.5440117120742798,0.5822567343711853,0.6122534275054932,0.6193286776542664,0.6365605592727661,0.6712287664413452,0.037277717143297195
1,estresse_pre_dencun_2024,historical_stress,b_sem_taxas_absolutas,B,832676,0.40011832118034363,0.43200984597206116,0.448661208152771,0.459814190864563,0.4771524965763092,0.5417278409004211,0.5907241106033325,0.6113796234130859,0.6428375244140625,0.6713484525680542,0.038556069135665894
2,transicao_dencun_2024,protocol_transition,b_sem_taxas_absolutas,B,244311,0.39961761236190796,0.43418920040130615,0.45183074474334717,0.4607386291027069,0.4779578447341919,0.5377554893493652,0.5803293585777283,0.595340371131897,0.6196040511131287,0.6510291695594788,0.036272380501031876
3,treino_2024_pos_dencun,train,b_sem_taxas_absolutas,B,3210970,0.39907345175743103,0.4323151707649231,0.44977670907974243,0.4590452015399933,0.47610563039779663,0.5360234379768372,0.5793662071228027,0.5918530821800232,0.616033673286438,0.6923366785049438,0.036632686853408813
4,validacao_2025_pre_pectra,validation,b_sem_taxas_absolutas,B,1442555,0.40010136365890503,0.4357837438583374,0.4552673399448395,0.46379920840263367,0.4814336895942688,0.5420609712600708,0.5976196527481079,0.6195304989814758,0.6412327885627747,0.6768072843551636,0.038752298802137375
5,transicao_pectra_2025,protocol_transition,b_sem_taxas_absolutas,B,423759,0.3991326689720154,0.43660813570022583,0.455769419670105,0.464922159910202,0.48332279920578003,0.5470405220985413,0.5917990207672119,0.6069243550300598,0.6761278510093689,0.7045385241508484,0.039265405386686325
6,teste_final_2025,test,b_sem_taxas_absolutas,B,2827717,0.39953193068504333,0.4386710226535797,0.45849648118019104,0.4670407772064209,0.48658692836761475,0.5445274114608765,0.585711658000946,0.5977384448051453,0.627869188785553,0.6885283589363098,0.03786966949701309
7,estresse_fusaka_2025,future_stress,b_sem_taxas_absolutas,B,512462,0.40180572867393494,0.4463755786418915,0.4670095443725586,0.474141389131546,0.49456986784935,0.5467590689659119,0.5856639742851257,0.5996609926223755,0.6271544694900513,0.6925702691078186,0.037129685282707214
1,estresse_pre_dencun_2024,historical_stress,c_sem_taxas_absolutas,C,832676,0.40367382764816284,0.4326096177101135,0.4499652087688446,0.45993977785110474,0.476919561624527,0.5372677445411682,0.5849860906600952,0.603240430355072,0.6364356875419617,0.6590563058853149,0.037551671266555786
2,transicao_dencun_2024,protocol_transition,c_sem_taxas_absolutas,C,244311,0.4041256010532379,0.43433916568756104,0.4525901675224304,0.46006232500076294,0.4768589735031128,0.5309457778930664,0.574414849281311,0.593436062335968,0.6153817176818848,0.6450530886650085,0.034837257117033005
3,treino_2024_pos_dencun,train,c_sem_taxas_absolutas,C,3210970,0.40185609459877014,0.4325637221336365,0.4505310654640198,0.4587750732898712,0.4758346378803253,0.5305683016777039,0.5768606066703796,0.5902942419052124,0.6124827861785889,0.6811423301696777,0.03561236336827278
4,validacao_2025_pre_pectra,validation,c_sem_taxas_absolutas,C,1442555,0.40186378359794617,0.4361226558685303,0.4558939039707184,0.4635252356529236,0.481112539768219,0.5379288792610168,0.5943944454193115,0.6082654595375061,0.6276766657829285,0.6668437123298645,0.037664782255887985
5,transicao_pectra_2025,protocol_transition,c_sem_taxas_absolutas,C,423759,0.4030327796936035,0.43676379323005676,0.45632579922676086,0.46447864174842834,0.4825458526611328,0.5414049625396729,0.5882478356361389,0.6041657328605652,0.6776924133300781,0.71524578332901,0.03835375979542732
6,teste_final_2025,test,c_sem_taxas_absolutas,C,2827717,0.4020693302154541,0.4392605423927307,0.4591141939163208,0.4668278396129608,0.48613351583480835,0.5403031706809998,0.5841081738471985,0.594717800617218,0.6241768002510071,0.6827692985534668,0.03693709895014763
7,estresse_fusaka_2025,future_stress,c_sem_taxas_absolutas,C,512462,0.40221890807151794,0.4473104476928711,0.4671981930732727,0.47390562295913696,0.4939022660255432,0.5438734889030457,0.5852422714233398,0.5948449373245239,0.623542845249176,0.6830123066902161,0.03619237244129181
