split_order,split,role,configuration,is_type_4,rows,anomalies_q995,anomaly_rate_q995,score_mean,score_median,score_q995
6,teste_final_2025,test,b_completa,1,13598,456,0.03353434328577732,0.5026247395274569,0.4922626316547394,0.633161723613739
7,estresse_fusaka_2025,future_stress,b_completa,0,509267,8809,0.017297409806643665,0.5155666736521688,0.5114824771881104,0.618150532245636
7,estresse_fusaka_2025,future_stress,b_completa,1,3195,104,0.032550860719874807,0.5269931308820214,0.5182240009307861,0.6221654415130615
1,estresse_pre_dencun_2024,historical_stress,c_completa,0,832676,3239,0.0038898683281372347,0.45946702667868117,0.4527897238731384,0.5882474184036255
2,transicao_dencun_2024,protocol_transition,c_completa,0,244311,308,0.0012606882211607336,0.4582007883709138,0.4521270990371704,0.5766850113868713
3,treino_2024_pos_dencun,train,c_completa,0,3210970,2442,0.0007605178497463383,0.4472064693679006,0.4397315979003906,0.5660582184791565
4,validacao_2025_pre_pectra,validation,c_completa,0,1442555,7213,0.005000155973255786,0.4688548931541711,0.46406713128089905,0.5934901833534241
5,transicao_pectra_2025,protocol_transition,c_completa,0,423010,2235,0.005283563036334839,0.4682173492578701,0.46247392892837524,0.5950062870979309
5,transicao_pectra_2025,protocol_transition,c_completa,1,749,22,0.029372496662216287,0.5018775506076889,0.5133610963821411,0.602815568447113
6,teste_final_2025,test,c_completa,0,2814119,30957,0.011000600898540538,0.48891198873905894,0.4872184097766876,0.6089823246002197
6,teste_final_2025,test,c_completa,1,13598,622,0.045742020885424325,0.5018924536521268,0.493406742811203,0.6414995789527893
7,estresse_fusaka_2025,future_stress,c_completa,0,509267,14928,0.029312718083048774,0.5190852620180793,0.5173830986022949,0.6192859411239624
7,estresse_fusaka_2025,future_stress,c_completa,1,3195,314,0.09827856025039124,0.5314989570627376,0.5224751830101013,0.6221938729286194
1,estresse_pre_dencun_2024,historical_stress,b_sem_taxas_absolutas,0,832676,3158,0.003792591596251123,0.45981420718780874,0.448661208152771,0.6113796234130859
2,transicao_dencun_2024,protocol_transition,b_sem_taxas_absolutas,0,244311,256,0.00104784475525048,0.4607386218572749,0.45183074474334717,0.595340371131897
3,treino_2024_pos_dencun,train,b_sem_taxas_absolutas,0,3210970,2475,0.0007707951179861537,0.45904521214329647,0.44977670907974243,0.5918530821800232
4,validacao_2025_pre_pectra,validation,b_sem_taxas_absolutas,0,1442555,7213,0.005000155973255786,0.4637992242523609,0.4552673399448395,0.6195304989814758
5,transicao_pectra_2025,protocol_transition,b_sem_taxas_absolutas,0,423010,1350,0.0031914139145646676,0.4649288945135525,0.4557569622993469,0.6069384813308716
5,transicao_pectra_2025,protocol_transition,b_sem_taxas_absolutas,1,749,0,0.0,0.4611355110863659,0.46225664019584656,0.5619708299636841
6,teste_final_2025,test,b_sem_taxas_absolutas,0,2814119,4306,0.0015301414048233212,0.46707999015998825,0.4585399031639099,0.5977383852005005
6,teste_final_2025,test,b_sem_taxas_absolutas,1,13598,9,0.0006618620385350787,0.45892644703283014,0.4502789080142975,0.5976385474205017
7,estresse_fusaka_2025,future_stress,b_sem_taxas_absolutas,0,509267,851,0.0016710291458115292,0.47421830613744165,0.46708187460899353,0.5997419357299805
7,estresse_fusaka_2025,future_stress,b_sem_taxas_absolutas,1,3195,0,0.0,0.4618777044035832,0.4555014967918396,0.5718917846679688
1,estresse_pre_dencun_2024,historical_stress,c_sem_taxas_absolutas,0,832676,3469,0.004166086208801502,0.4599397607702347,0.4499652087688446,0.603240430355072
2,transicao_dencun_2024,protocol_transition,c_sem_taxas_absolutas,0,244311,647,0.00264826389315258,0.4600623244384112,0.4525901675224304,0.593436062335968
3,treino_2024_pos_dencun,train,c_sem_taxas_absolutas,0,3210970,4688,0.0014599949547955914,0.4587750641491973,0.4505310654640198,0.5902942419052124
4,validacao_2025_pre_pectra,validation,c_sem_taxas_absolutas,0,1442555,7213,0.005000155973255786,0.463525238570155,0.4558939039707184,0.6082654595375061
5,transicao_pectra_2025,protocol_transition,c_sem_taxas_absolutas,0,423010,1791,0.004233942459989126,0.464473450360635,0.45632344484329224,0.6041967868804932
5,transicao_pectra_2025,protocol_transition,c_sem_taxas_absolutas,1,749,0,0.0,0.467420577286719,0.45964720845222473,0.5571674108505249
6,teste_final_2025,test,c_sem_taxas_absolutas,0,2814119,5758,0.0020461110564265407,0.46684077662844636,0.4591369926929474,0.5945713520050049
6,teste_final_2025,test,c_sem_taxas_absolutas,1,13598,177,0.013016620091189882,0.46414060279417957,0.45318904519081116,0.6465404629707336
7,estresse_fusaka_2025,future_stress,c_sem_taxas_absolutas,0,509267,1071,0.002103022579511337,0.4739325391065476,0.4672422707080841,0.594938337802887
7,estresse_fusaka_2025,future_stress,c_sem_taxas_absolutas,1,3195,1,0.00031298904538341156,0.4696205725319135,0.45822691917419434,0.5723850131034851
