detection_event_id,detector,validation_status,attacker_address,attacker_executor_address,transaction_hash,transaction_role,block_number,token_address,from_address,to_address,amount_raw,log_index,attacker_entity_delta_raw,is_weth
139,insertion,confirmed,0xf9cafeb32467994e3affd61e30865e5ab32abe68,0x429cf888dae41d589d57f6dc685707bec755fe63,0x95da106d52637ba5f78da6b416e65bdd1ab6b85c73553108f6c898411d2238bc,attacker_front,19428600,0xdac17f958d2ee523a2206206994597c13d831ec7,0x429cf888dae41d589d57f6dc685707bec755fe63,0xc7bbec68d12a0d1830360f8ec58fa599ba1b0e9b,68563765030,17,-68563765030,false
165,insertion,confirmed,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0x3d2a61fb9cb46fec913203c757cac9869fc8d61c8258840f72b264eafedf885c,attacker_back,19430000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x11b815efb8f581194ae79006d24e0d814b7697f6,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,110729812748544123429,49,110729812748544123429,true
165,insertion,confirmed,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0x3d2a61fb9cb46fec913203c757cac9869fc8d61c8258840f72b264eafedf885c,attacker_back,19430000,0xdac17f958d2ee523a2206206994597c13d831ec7,0x11b815efb8f581194ae79006d24e0d814b7697f6,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,1380671786434,50,1380671786434,false
165,insertion,confirmed,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0x3d2a61fb9cb46fec913203c757cac9869fc8d61c8258840f72b264eafedf885c,attacker_back,19430000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x11b815efb8f581194ae79006d24e0d814b7697f6,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,103451043731206611573,52,103451043731206611573,true
165,insertion,confirmed,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0x3d2a61fb9cb46fec913203c757cac9869fc8d61c8258840f72b264eafedf885c,attacker_back,19430000,0xdac17f958d2ee523a2206206994597c13d831ec7,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0x11b815efb8f581194ae79006d24e0d814b7697f6,409131656704,53,-409131656704,false
165,insertion,confirmed,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0x222fbc8eed3e65d15ffd8eadbd27cf6e7051614d22e477f43cf6fd2d84b77ea3,attacker_front,19430000,0xdac17f958d2ee523a2206206994597c13d831ec7,0x11b815efb8f581194ae79006d24e0d814b7697f6,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,528653359361,0,528653359361,false
165,insertion,confirmed,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0x222fbc8eed3e65d15ffd8eadbd27cf6e7051614d22e477f43cf6fd2d84b77ea3,attacker_front,19430000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0x11b815efb8f581194ae79006d24e0d814b7697f6,133702584238768425880,1,-133702584238768425880,true
165,insertion,confirmed,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0x222fbc8eed3e65d15ffd8eadbd27cf6e7051614d22e477f43cf6fd2d84b77ea3,attacker_front,19430000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0x11b815efb8f581194ae79006d24e0d814b7697f6,80404825298641504048,3,-80404825298641504048,true
165,insertion,confirmed,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0x222fbc8eed3e65d15ffd8eadbd27cf6e7051614d22e477f43cf6fd2d84b77ea3,attacker_front,19430000,0xdac17f958d2ee523a2206206994597c13d831ec7,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0x11b815efb8f581194ae79006d24e0d814b7697f6,1500193488765,4,-1500193488765,false
284,displacement,probable,0xe8039aeaf3d85adb808faf7db141c1ed839ce776,,0xbe032b1942f19a27a0545dbbd8f3836a38da5945a39a29e254fda422af1d9fbf,attacker_front,19437700,0x9dc6136e335ac509aa3bf3561e98f28ace4c54a4,0x9dc6136e335ac509aa3bf3561e98f28ace4c54a4,0xecf6182027f1023042b96b47e03659562d14a4a9,4206900000000000000,1,0,false
