split,split_role,configuration,method,model,rows,positives,negatives,prevalence,roc_auc,pr_auc_average_precision,assumption
teste_final_2025,test,b_sem_taxas_absolutas,IF,IF:b_sem_taxas_absolutas,2827717,49525,2778192,0.01751412888913565,0.839959510882563,0.060151186433984614,Hipótese experimental: endereços MEV Bot do Label Cloud são positivos; todos os endereços ausentes são negativos.
teste_final_2025,test,c_sem_taxas_absolutas,AE,AE:c_sem_taxas_absolutas,2827717,49525,2778192,0.01751412888913565,0.8251561833159006,0.17167882172130364,Hipótese experimental: endereços MEV Bot do Label Cloud são positivos; todos os endereços ausentes são negativos.
teste_final_2025,test,c_sem_taxas_absolutas,IF,IF:c_sem_taxas_absolutas,2827717,49525,2778192,0.01751412888913565,0.8142879312280162,0.05344232457410885,Hipótese experimental: endereços MEV Bot do Label Cloud são positivos; todos os endereços ausentes são negativos.
estresse_fusaka_2025,future_stress,a_completa,AE,AE:a_completa,512462,4704,507758,0.009179217190738045,0.272341001577349,0.005704109800833839,Hipótese experimental: endereços MEV Bot do Label Cloud são positivos; todos os endereços ausentes são negativos.
estresse_fusaka_2025,future_stress,a_completa,IF,IF:a_completa,512462,4704,507758,0.009179217190738045,0.8666944277203751,0.03247980086642233,Hipótese experimental: endereços MEV Bot do Label Cloud são positivos; todos os endereços ausentes são negativos.
estresse_fusaka_2025,future_stress,b_completa,AE,AE:b_completa,512462,4704,507758,0.009179217190738045,0.54979832305452,0.009282833666396876,Hipótese experimental: endereços MEV Bot do Label Cloud são positivos; todos os endereços ausentes são negativos.
estresse_fusaka_2025,future_stress,b_completa,IF,IF:b_completa,512462,4704,507758,0.009179217190738045,0.9016894594760217,0.04837527522251755,Hipótese experimental: endereços MEV Bot do Label Cloud são positivos; todos os endereços ausentes são negativos.
estresse_fusaka_2025,future_stress,c_completa,AE,AE:c_completa,512462,4704,507758,0.009179217190738045,0.53069155806734,0.00911458715260256,Hipótese experimental: endereços MEV Bot do Label Cloud são positivos; todos os endereços ausentes são negativos.
estresse_fusaka_2025,future_stress,c_completa,IF,IF:c_completa,512462,4704,507758,0.009179217190738045,0.9004657279320727,0.04885877092217399,Hipótese experimental: endereços MEV Bot do Label Cloud são positivos; todos os endereços ausentes são negativos.
estresse_fusaka_2025,future_stress,b_sem_taxas_absolutas,AE,AE:b_sem_taxas_absolutas,512462,4704,507758,0.009179217190738045,0.6533076503090296,0.014173530856864224,Hipótese experimental: endereços MEV Bot do Label Cloud são positivos; todos os endereços ausentes são negativos.
estresse_fusaka_2025,future_stress,b_sem_taxas_absolutas,IF,IF:b_sem_taxas_absolutas,512462,4704,507758,0.009179217190738045,0.7268586676307287,0.01570240594577615,Hipótese experimental: endereços MEV Bot do Label Cloud são positivos; todos os endereços ausentes são negativos.
estresse_fusaka_2025,future_stress,c_sem_taxas_absolutas,AE,AE:c_sem_taxas_absolutas,512462,4704,507758,0.009179217190738045,0.7124215824578761,0.016979482762657497,Hipótese experimental: endereços MEV Bot do Label Cloud são positivos; todos os endereços ausentes são negativos.
estresse_fusaka_2025,future_stress,c_sem_taxas_absolutas,IF,IF:c_sem_taxas_absolutas,512462,4704,507758,0.009179217190738045,0.7065265165002541,0.014621866304761722,Hipótese experimental: endereços MEV Bot do Label Cloud são positivos; todos os endereços ausentes são negativos.
