split,configuration,method,model,threshold,tn,fp,fn,tp,precision,recall_sensitivity,specificity,npv,f1,balanced_accuracy,mcc,false_positive_rate,predicted_positive_rate
treino_2024_pos_dencun,a_completa,AE,AE:a_completa,q990,3173851,14916,22202,1,6.703760809814306e-05,4.503895869927487e-05,0.995322329916234,0.993053306687968,5.387931034482759e-05,0.49768368443746663,-0.005645432414243088,0.004677670083765961,0.004645636676767456
treino_2024_pos_dencun,a_completa,AE,AE:a_completa,q995,3181015,7752,22202,1,0.00012898232942086933,4.503895869927487e-05,0.9975689663120573,0.9930688429787928,6.676458806249166e-05,0.49880700263537825,-0.004028641577752364,0.0024310336879427297,0.002414535171614808
treino_2024_pos_dencun,a_completa,AE,AE:a_completa,q999,3187122,1645,22203,0,0.0,0.0,0.9994841266232372,0.9930817227921759,0.0,0.4997420633116186,-0.0018891678127106102,0.0005158733767628432,0.0005123062501362517
treino_2024_pos_dencun,a_completa,IF,IF:a_completa,q990,3176256,12511,22181,22,0.0017553658341977181,0.0009908570913840472,0.9960765399290697,0.9930650502104622,0.0012666973744818056,0.4985336985102269,-0.0038973918638289433,0.003923460070930251,0.003903181904533521
treino_2024_pos_dencun,a_completa,IF,IF:a_completa,q995,3183207,5560,22198,5,0.0008984725965858042,0.00022519479349637436,0.9982563793466253,0.9930748220583671,0.00036012676462114667,0.4992407870700608,-0.0030250793784274703,0.0017436206533747445,0.0017331211440779577
treino_2024_pos_dencun,a_completa,IF,IF:a_completa,q999,3187659,1108,22203,0,0.0,0.0,0.9996525302726728,0.9930828801985879,0.0,0.4998262651363364,-0.0015503192352822916,0.00034746972732724313,0.00034506706696107406
treino_2024_pos_dencun,b_completa,AE,AE:b_completa,q990,3177093,11674,22159,44,0.0037549069807134325,0.0019817141827680944,0.9963390238295868,0.99307369347585,0.002594263140827216,0.49916036900617744,-0.0023077284720972083,0.003660976170413166,0.0036493645222471713
treino_2024_pos_dencun,b_completa,AE,AE:b_completa,q995,3182035,6732,22165,38,0.005612998522895126,0.0017114804305724451,0.997888839165734,0.9930825166968354,0.0026231318814068268,0.49980015979815323,-0.0007220644040459586,0.0021111608342659904,0.002108397151016671
treino_2024_pos_dencun,b_completa,AE,AE:b_completa,q999,3188080,687,22190,13,0.018571428571428572,0.0005855064630905733,0.9997845562250236,0.9930878088135889,0.001135222459939746,0.5001850313440571,0.002077173254223501,0.00021544377497639822,0.0002180026596324475
treino_2024_pos_dencun,b_completa,IF,IF:b_completa,q990,3183695,5072,22199,4,0.0007880220646178094,0.0001801558347970995,0.9984094165550509,0.9930755664410613,0.0002932658821804318,0.499294786194924,-0.002941932052044059,0.0015905834449491119,0.001580830714706148
treino_2024_pos_dencun,b_completa,IF,IF:b_completa,q995,3186874,1893,22202,1,0.0005279831045406547,4.503895869927487e-05,0.9994063536156765,0.9930814976024251,8.299788355396937e-05,0.4997256962871879,-0.0018724012224289055,0.0005936463843234652,0.0005898529104912223
treino_2024_pos_dencun,b_completa,IF,IF:b_completa,q999,3188140,627,22203,0,0.0,0.0,0.99980337227524,0.9930839165783844,0.0,0.49990168613762,-0.0011661448226713297,0.00019662772476003454,0.00019526809655649228
treino_2024_pos_dencun,c_completa,AE,AE:c_completa,q990,3176111,12656,22202,1,7.90076637433831e-05,4.503895869927487e-05,0.9960310678077138,0.9930582153779195,5.7372346528973036e-05,0.4980380533832065,-0.0051892970690099564,0.003968932192286223,0.003941799518525554
treino_2024_pos_dencun,c_completa,AE,AE:c_completa,q995,3182454,6313,22202,1,0.00015837820715869496,4.503895869927487e-05,0.9980202379164109,0.9930719553050312,7.013360451660413e-05,0.4990326384375551,-0.003619037206462181,0.001979762083589076,0.0019663839898846768
treino_2024_pos_dencun,c_completa,AE,AE:c_completa,q999,3188267,500,22203,0,0.0,0.0,0.999843199581531,0.9930841901653029,0.0,0.4999215997907655,-0.0010413461845765952,0.00015680041846899417,0.00015571618545174822
treino_2024_pos_dencun,c_completa,IF,IF:c_completa,q990,3182918,5849,22195,8,0.0013658869728529965,0.000360311669594199,0.9981657487047502,0.9930751271484032,0.0005702066999287241,0.49926303018717216,-0.002862448176848053,0.0018342512952498335,0.0018240593963817788
treino_2024_pos_dencun,c_completa,IF,IF:c_completa,q995,3186327,2440,22201,2,0.000819000819000819,9.007791739854974e-05,0.9992348139578715,0.993080627627373,0.0001623047271251775,0.49966244593763504,-0.002029386705318759,0.0007651860421284962,0.0007605178497463383
treino_2024_pos_dencun,c_completa,IF,IF:c_completa,q999,3188085,682,22203,0,0.0,0.0,0.9997861242292083,0.9930837980891434,0.0,0.49989306211460416,-0.0012162269585217992,0.00021387577079168274,0.00021239687695618457
treino_2024_pos_dencun,b_sem_taxas_absolutas,AE,AE:b_sem_taxas_absolutas,q990,3178487,10280,22193,10,0.0009718172983479105,0.0004503895869927487,0.9967761833962783,0.9930661609408,0.0006155171883174837,0.4986132864916355,-0.0040663536769289,0.0032238166037217297,0.0032046390965969787
treino_2024_pos_dencun,b_sem_taxas_absolutas,AE,AE:b_sem_taxas_absolutas,q995,3184089,4678,22200,3,0.000640888698995941,0.00013511687609782462,0.9985329752848044,0.9930761076122583,0.00022318107424490404,0.4993340460804511,-0.0028928155603357235,0.0014670247151955529,0.0014578149281992668
treino_2024_pos_dencun,b_sem_taxas_absolutas,AE,AE:b_sem_taxas_absolutas,q999,3187709,1058,22203,0,0.0,0.0,0.9996682103145197,0.9930829879448408,0.0,0.49983410515725984,-0.0015149235143216912,0.0003317896854803104,0.00032949544841589926
treino_2024_pos_dencun,b_sem_taxas_absolutas,IF,IF:b_sem_taxas_absolutas,q990,3177005,11762,22203,0,0.0,0.0,0.9963114269559362,0.9930598448115908,0.0,0.4981557134779681,-0.005059572052020312,0.003688573044063781,0.0036630675465669253
treino_2024_pos_dencun,b_sem_taxas_absolutas,IF,IF:b_sem_taxas_absolutas,q995,3186292,2475,22203,0,0.0,0.0,0.9992238379285787,0.9930799331150586,0.0,0.49961191896428936,-0.002317561962017477,0.0007761620714212825,0.0007707951179861537
treino_2024_pos_dencun,b_sem_taxas_absolutas,IF,IF:b_sem_taxas_absolutas,q999,3188036,731,22203,0,0.0,0.0,0.9997707577881983,0.9930836925225817,0.0,0.4998853788940992,-0.0012591702123316885,0.00022924221180165016,0.0002276570631304559
treino_2024_pos_dencun,c_sem_taxas_absolutas,AE,AE:c_sem_taxas_absolutas,q990,3171849,16918,22051,152,0.008904510837727007,0.0068459217222897805,0.9946945010406844,0.9930959015623533,0.0077406869859700045,0.500770211381487,0.0017554147078167523,0.0053054989593156465,0.005316150571322684
treino_2024_pos_dencun,c_sem_taxas_absolutas,AE,AE:c_sem_taxas_absolutas,q995,3182045,6722,22136,67,0.009868905582560024,0.0030176102328514165,0.9978919751741033,0.9930915263525999,0.0046219646799117,0.5004547927034774,0.0016409648644941605,0.0021080248258966705,0.0021143143660638376
treino_2024_pos_dencun,c_sem_taxas_absolutas,AE,AE:c_sem_taxas_absolutas,q999,3187540,1227,22183,20,0.01603849238171612,0.0009007791739854974,0.9996152117730772,0.9930888117136588,0.0017057569296375266,0.5002579954735313,0.0021701627322165376,0.00038478822692278314,0.00038835616651666007
treino_2024_pos_dencun,c_sem_taxas_absolutas,IF,IF:c_sem_taxas_absolutas,q990,3176347,12420,22203,0,0.0,0.0,0.9961050776052311,0.9930584170952463,0.0,0.4980525388026156,-0.005199704483032677,0.0038949223947688516,0.003867990046621426
