split_order,split,role,start_date,end_date,feature,matrices,transformation,rows,psi,psi_level,ks_approx,ks_level,drift_level,reference_median,current_median,median_shift,reference_iqr,current_iqr,iqr_ratio,reference_zero_share,current_zero_share,zero_share_delta,outside_training_range_share,outside_training_robust_fence_share,current_min,current_max,current_mean,current_std,psi_bins,ks_grid_points
2,transicao_dencun_2024,protocol_transition,2024-03-13,2024-03-31,fee_cap_utilization,A/B/C,passthrough,244311,0.08014740224824593,baixo,0.06125514556322598,baixo,baixo,0.7413346315067423,0.7186979928051593,-0.022636638701582945,0.5218538753991288,0.40735287163464007,0.7805879975943169,0.15740695179338332,0.1519333963677444,-0.005473555425638932,0.0,0.0,0.0,1.0,0.6038065490201885,0.3319947532249846,10,75
2,transicao_dencun_2024,protocol_transition,2024-03-13,2024-03-31,transaction_value_log,A/B/C,robust_scaler_train,244311,0.02874730719077307,baixo,0.04380673475240093,baixo,baixo,0.0,0.0,0.0,1.0,1.00715986199982,1.00715986199982,0.5198260961640875,0.512379712743184,-0.007446383420903535,0.0,0.0,0.0,1.346524536408521,0.48589205272919817,0.5051804515487884,6,50
2,transicao_dencun_2024,protocol_transition,2024-03-13,2024-03-31,nonce_log,A/B/C,robust_scaler_train,244311,0.02145806786569451,baixo,0.046100263809472686,baixo,baixo,0.0,-0.06270641333418081,-0.06270641333418081,1.0,1.1071272596658266,1.1071272596658266,0.0005509238641282852,0.0005280155212004371,-2.2908342927848097e-05,0.0,0.0,-0.6629378572783498,1.461075045976432,0.13867985256210874,0.6597433707660384,10,87
2,transicao_dencun_2024,protocol_transition,2024-03-13,2024-03-31,receipt_status,A/B/C,passthrough,244311,0.0,baixo,0.005550281054398833,baixo,baixo,1.0,1.0,0.0,0.0,0.0,,0.01958567037374999,0.014035389319351155,-0.005550281054398833,0.0,0.014035389319351155,0.0,1.0,0.9859646106806489,0.1176369576654545,2,2
2,transicao_dencun_2024,protocol_transition,2024-03-13,2024-03-31,tx_type_0,A/B/C,passthrough,244311,0.000274794023322471,baixo,0.0058963521861257195,baixo,baixo,0.0,0.0,0.0,0.0,0.0,,0.8484286679726064,0.8543250201587321,0.0058963521861257195,0.0,0.1456749798412679,0.0,1.0,0.1456749798412679,0.3527807952522242,3,2
2,transicao_dencun_2024,protocol_transition,2024-03-13,2024-03-31,tx_type_1,A/B/C,passthrough,244311,2.9753094092363398e-05,baixo,0.0004227967604868432,baixo,baixo,0.0,0.0,0.0,0.0,0.0,,0.9941643802340103,0.9937415834735235,-0.0004227967604868432,0.0,0.006258416526476499,0.0,1.0,0.006258416526476499,0.07886237509382925,2,2
2,transicao_dencun_2024,protocol_transition,2024-03-13,2024-03-31,tx_type_3,A/B/C,passthrough,244311,0.0016404715812513434,baixo,0.0029879830606392987,baixo,baixo,0.0,0.0,0.0,0.0,0.0,,0.9928984076462876,0.9958863907069269,0.0029879830606392987,0.0,0.004113609293073173,0.0,1.0,0.004113609293073173,0.06400550195144171,2,2
2,transicao_dencun_2024,protocol_transition,2024-03-13,2024-03-31,transaction_index_pct,A/B/C,passthrough,244311,1.8981396884429305e-06,baixo,0.0006152132312192953,baixo,baixo,0.5,0.5,0.0,0.5031847133757963,0.5028571428571429,0.9993490054249546,0.006128677627009907,0.005513464395790611,-0.0006152132312192953,0.0,0.0,0.0,1.0,0.5000000000000019,0.29027492628688273,10,101
2,transicao_dencun_2024,protocol_transition,2024-03-13,2024-03-31,block_tx_count_log,B/C,robust_scaler_train,244311,0.15140203908137873,moderado,0.16097671251209056,moderado,moderado,0.0,0.307679930126607,0.307679930126607,1.0,1.2983672799660162,1.2983672799660162,0.006670881384752894,0.008350012893402262,0.0016791315086493687,0.0,0.06171232568324799,-8.612055645057785,2.8216228992300834,0.38030895925766667,0.9937481951499382,10,101
2,transicao_dencun_2024,protocol_transition,2024-03-13,2024-03-31,sender_tx_count_block_log,B/C,robust_scaler_train,244311,0.008168926399290517,baixo,0.024934529348093704,baixo,baixo,0.0,0.0,0.0,0.0,0.0,,0.850543916635783,0.8260823294898715,-0.024461587145911512,0.0,0.1739176705101285,0.0,4.174387269895637,0.16637798798593068,0.4792190965298999,3,8
2,transicao_dencun_2024,protocol_transition,2024-03-13,2024-03-31,receiver_tx_count_block_log,B/C,robust_scaler_train,244311,0.007513206182459144,baixo,0.03182003456840632,baixo,baixo,0.0,0.0,0.0,1.0,1.2006081234846424,1.2006081234846424,0.5684948784946605,0.5602572131422654,-0.008237665352395118,0.0,0.02766146428118259,0.0,4.099577147637607,0.581255910257584,0.8288882595802983,6,27
