split_order,split,role,feature,type4_rows,type4_share_split,rows,psi,psi_level,ks_approx,ks_level,drift_level,reference_median,current_median,median_shift,reference_iqr,current_iqr,iqr_ratio,reference_zero_share,current_zero_share,zero_share_delta,outside_training_range_share,outside_training_robust_fence_share,current_min,current_max,current_mean,current_std,psi_bins,ks_grid_points
6,teste_final_2025,test,fee_cap_utilization,13598,0.0048088263429473315,13598,2.348253249622657,alto,0.3335668255583874,alto,alto,0.7413346315067423,0.8367346177199471,0.09539998621320478,0.5218538753991288,0.17057656770131313,0.3268665343739209,0.15740695179338332,0.0,-0.15740695179338332,0.0,0.0,0.01266306174,1.0,0.8160863989965845,0.17560304563604082,10,75
6,teste_final_2025,test,transaction_value_log,13598,0.0048088263429473315,13598,1.3192813053625876,alto,0.43687422373311513,alto,alto,0.0,0.0,0.0,1.0,0.0,0.0,0.5198260961640875,0.9541844388880718,0.4343583427239843,0.0,0.0,0.0,1.1619214145315484,0.04161764922616461,0.19840274556592707,6,50
6,teste_final_2025,test,nonce_log,13598,0.0048088263429473315,13598,2.2429731649066027,alto,0.31630564288572766,alto,alto,0.0,0.36295422781368214,0.36295422781368214,1.0,0.36657859022528494,0.36657859022528494,0.0005509238641282852,0.0003677011325194882,-0.00018322273160879707,0.0,0.0,-0.6629378572783498,1.1417360499587006,0.25233565310276423,0.366693221824579,10,87
6,teste_final_2025,test,receipt_status,13598,0.0048088263429473315,13598,0.0,baixo,0.016596121066167646,baixo,baixo,1.0,1.0,0.0,0.0,0.0,,0.01958567037374999,0.036181791439917635,0.016596121066167646,0.0,0.036181791439917635,0.0,1.0,0.9638182085600824,0.1867491208566563,2,2
6,teste_final_2025,test,tx_type_0,13598,0.0048088263429473315,13598,1.8329676083186568,alto,0.1515713320273936,moderado,alto,0.0,0.0,0.0,0.0,0.0,,0.8484286679726064,1.0,0.1515713320273936,0.0,0.0,0.0,0.0,0.0,0.0,3,2
6,teste_final_2025,test,tx_type_1,13598,0.0048088263429473315,13598,0.05063043504841681,baixo,0.005835619765989675,baixo,baixo,0.0,0.0,0.0,0.0,0.0,,0.9941643802340103,1.0,0.005835619765989675,0.0,0.0,0.0,0.0,0.0,0.0,2,2
6,teste_final_2025,test,tx_type_3,13598,0.0048088263429473315,13598,0.06301919320167541,baixo,0.007101592353712438,baixo,baixo,0.0,0.0,0.0,0.0,0.0,,0.9928984076462876,1.0,0.007101592353712438,0.0,0.0,0.0,0.0,0.0,0.0,2,2
6,teste_final_2025,test,transaction_index_pct,13598,0.0048088263429473315,13598,0.12692773277800007,moderado,0.13512202230625037,moderado,moderado,0.5,0.5878583128583128,0.0878583128583128,0.5031847133757963,0.5489598278335726,1.090970797086973,0.006128677627009907,0.001617884983085748,-0.004510792643924158,0.0,0.0,0.0,1.0,0.5776880514144556,0.30326431901007045,10,101
6,teste_final_2025,test,block_tx_count_log,13598,0.0048088263429473315,13598,0.6992927687970697,alto,0.37029465642656934,alto,alto,0.0,0.6906916520288614,0.6906916520288614,1.0,1.0273842119802248,1.0273842119802248,0.006670881384752894,0.006250919252831299,-0.0004199621319215946,0.0,0.06795116928960142,-3.4818849687673477,4.993938366013559,0.7372193597569726,0.8558435769373808,10,101
6,teste_final_2025,test,sender_tx_count_block_log,13598,0.0048088263429473315,13598,0.03153713357810246,baixo,0.04672038693827196,baixo,baixo,0.0,0.0,0.0,0.0,0.0,,0.850543916635783,0.897264303574055,0.04672038693827196,0.0,0.10273569642594499,0.0,4.460144413937834,0.18076896072626963,0.7106879496650103,3,8
