split_order,split,role,configuration,is_type_4,rows,anomalies_q995,anomaly_rate_q995,score_mean,score_median,score_q995
2,transicao_dencun_2024,protocol_transition,c_completa,0,244311,530,0.002169366094854509,0.14242507218121103,0.13226504623889923,0.4941975176334381
3,treino_2024_pos_dencun,train,c_completa,0,3210970,6314,0.0019663839898846768,0.12127700108800503,0.10942865163087845,0.44843295216560364
4,validacao_2025_pre_pectra,validation,c_completa,0,1442555,7213,0.005000155973255786,0.1486027919481434,0.13090743124485016,0.5881096720695496
5,transicao_pectra_2025,protocol_transition,c_completa,0,423010,2306,0.005451407768137869,0.1404939362354472,0.12329360842704773,0.6231110692024231
5,transicao_pectra_2025,protocol_transition,c_completa,1,749,0,0.0,0.16536504188390855,0.1475047916173935,0.34418654441833496
6,teste_final_2025,test,c_completa,0,2814119,26058,0.009259736350879262,0.17432826804963705,0.1482876092195511,0.6967102885246277
6,teste_final_2025,test,c_completa,1,13598,365,0.026842182673922636,0.21481105038294315,0.18307140469551086,1.286339282989502
7,estresse_fusaka_2025,future_stress,c_completa,0,509267,23974,0.047075502634178146,0.29134982269635734,0.2591556906700134,1.0449235439300537
7,estresse_fusaka_2025,future_stress,c_completa,1,3195,156,0.048826291079812206,0.33592615478055576,0.32202935218811035,0.9404231309890747
1,estresse_pre_dencun_2024,historical_stress,b_sem_taxas_absolutas,0,832676,8079,0.009702453295159221,0.09090091092295403,0.07026375830173492,0.8840749263763428
2,transicao_dencun_2024,protocol_transition,b_sem_taxas_absolutas,0,244311,370,0.0015144631228229592,0.07992636615907163,0.06791368871927261,0.36020350456237793
3,treino_2024_pos_dencun,train,b_sem_taxas_absolutas,0,3210970,4681,0.0014578149281992668,0.08144839051855171,0.07010553777217865,0.3336885869503021
4,validacao_2025_pre_pectra,validation,b_sem_taxas_absolutas,0,1442555,7213,0.005000155973255786,0.08837386289232926,0.0725012943148613,0.5271710753440857
5,transicao_pectra_2025,protocol_transition,b_sem_taxas_absolutas,0,423010,1757,0.004153566109548238,0.0890696231830251,0.07204766571521759,0.4681541323661804
5,transicao_pectra_2025,protocol_transition,b_sem_taxas_absolutas,1,749,0,0.0,0.08448774624523894,0.07586798816919327,0.30498018860816956
6,teste_final_2025,test,b_sem_taxas_absolutas,0,2814119,8561,0.003042159908660579,0.08825441317422064,0.0730864480137825,0.4680585265159607
6,teste_final_2025,test,b_sem_taxas_absolutas,1,13598,1,7.354022650389763e-05,0.07822274763208606,0.06430983543395996,0.4236295223236084
7,estresse_fusaka_2025,future_stress,b_sem_taxas_absolutas,0,509267,1521,0.0029866455120791256,0.09290802327095381,0.07565943151712418,0.4496491849422455
7,estresse_fusaka_2025,future_stress,b_sem_taxas_absolutas,1,3195,1,0.00031298904538341156,0.07895212855076356,0.06545817852020264,0.27407506108283997
1,estresse_pre_dencun_2024,historical_stress,c_sem_taxas_absolutas,0,832676,6939,0.00833337336491024,0.09650667337918938,0.07859578728675842,0.4572535455226898
2,transicao_dencun_2024,protocol_transition,c_sem_taxas_absolutas,0,244311,356,0.0014571591127701985,0.09607445075225302,0.08164814859628677,0.35585230588912964
3,treino_2024_pos_dencun,train,c_sem_taxas_absolutas,0,3210970,6789,0.0021143143660638376,0.09185440703144,0.07835187762975693,0.3502903878688812
4,validacao_2025_pre_pectra,validation,c_sem_taxas_absolutas,0,1442555,7213,0.005000155973255786,0.09779460371843433,0.08217959105968475,0.41499999165534973
5,transicao_pectra_2025,protocol_transition,c_sem_taxas_absolutas,0,423010,4337,0.01025271270182738,0.1029679236688652,0.08541463315486908,0.5269819498062134
5,transicao_pectra_2025,protocol_transition,c_sem_taxas_absolutas,1,749,5,0.006675567423230975,0.12155612584238297,0.10264971852302551,0.48854565620422363
6,teste_final_2025,test,c_sem_taxas_absolutas,0,2814119,15632,0.005554846827728323,0.10593683668258329,0.08927733451128006,0.4242199957370758
6,teste_final_2025,test,c_sem_taxas_absolutas,1,13598,459,0.033754963965289014,0.12377049351350221,0.09365403652191162,0.7273249626159668
7,estresse_fusaka_2025,future_stress,c_sem_taxas_absolutas,0,509267,3684,0.007233926407954963,0.11448746127148576,0.09669384360313416,0.4646572470664978
7,estresse_fusaka_2025,future_stress,c_sem_taxas_absolutas,1,3195,66,0.020657276995305163,0.13515424482052174,0.10798624902963638,0.6618115305900574
