split_order,split,role,configuration,matrix,rows,score_min,score_q250,score_median,score_mean,score_q750,score_q950,score_q990,score_q995,score_q999,score_max,score_std
4,validacao_2025_pre_pectra,validation,b_sem_taxas_absolutas,B,1442555,0.0023602198343724012,0.043213773518800735,0.0725012943148613,0.08837386220693588,0.11058586835861206,0.19613638818264018,0.3834197205305099,0.527171056866645,0.9682605789899803,2.4462807178497314,0.08129779249429703
5,transicao_pectra_2025,protocol_transition,b_sem_taxas_absolutas,B,423759,0.0024221143685281277,0.04320024326443672,0.07205841690301895,0.08906152844429016,0.11010822281241417,0.19451399445533743,0.3327781277894973,0.46789872974157437,1.9005689504146583,1.9471759796142578,0.10278372466564178
6,teste_final_2025,test,b_sem_taxas_absolutas,B,2827717,0.0024019803386181593,0.04505874589085579,0.07304228842258453,0.08820617198944092,0.11008957773447037,0.19682434499263754,0.374103177785872,0.4674547731876365,0.7659880926608867,2.121757984161377,0.07224062085151672
7,estresse_fusaka_2025,future_stress,b_sem_taxas_absolutas,B,512462,0.0034496982116252184,0.04834059998393059,0.07559328526258469,0.09282101690769196,0.11564338766038418,0.2086320132017135,0.3551389196515085,0.4490398639440546,1.0369266474246979,1.8492802381515503,0.08009083569049835
1,estresse_pre_dencun_2024,historical_stress,c_sem_taxas_absolutas,C,832676,0.0027729186695069075,0.04963123518973589,0.07859578356146812,0.09650667011737823,0.12004221975803375,0.23233533650636673,0.38550785928964615,0.4572535566985607,0.5883352324366563,1.003185510635376,0.0730019062757492
2,transicao_dencun_2024,protocol_transition,c_sem_taxas_absolutas,C,244311,0.002429002895951271,0.05189169757068157,0.08164814859628677,0.09607444703578949,0.12359384074807167,0.21784253418445587,0.3198435366153717,0.3558523103594783,0.4326427108049395,0.8802632689476013,0.0631544440984726
3,treino_2024_pos_dencun,train,c_sem_taxas_absolutas,C,3210970,0.0020230133086442947,0.04929973650723696,0.07835187762975693,0.09185440838336945,0.11803609132766724,0.20726313441991792,0.30604605615139013,0.35029038548469504,0.47786418536305353,1.223171591758728,0.06179302930831909
4,validacao_2025_pre_pectra,validation,c_sem_taxas_absolutas,C,1442555,0.002088381676003337,0.052341366186738014,0.08217959105968475,0.09779459983110428,0.12356115505099297,0.22221086323261263,0.34628282666206317,0.41500000119209285,0.5898750600814816,1.077648639678955,0.06889290362596512
5,transicao_pectra_2025,protocol_transition,c_sem_taxas_absolutas,C,423759,0.0016597678186371922,0.05444074049592018,0.08543668687343597,0.10300078243017197,0.12888307124376297,0.23200764805078505,0.41869965374469664,0.5266659033298569,0.7298555301427855,1.252272605895996,0.07726159691810608
6,teste_final_2025,test,c_sem_taxas_absolutas,C,2827717,0.0023980848491191864,0.05731187388300896,0.08930123597383499,0.10602258890867233,0.13493967056274414,0.23826609253883346,0.37077776789665173,0.4261956334114072,0.5735943803787229,1.3961880207061768,0.07206879556179047
7,estresse_fusaka_2025,future_stress,c_sem_taxas_absolutas,C,512462,0.003675756510347128,0.06480898894369602,0.09675514698028564,0.11461631208658218,0.14286040142178535,0.2543871387839316,0.3865005683898926,0.4672716082632545,0.6653668888211225,1.1031606197357178,0.07571155577898026
